codigo,nivel,padre,nombre,label
31100,3,31000,"Alimentos y Bebidas para Personas, Desayuno Escolar y Otros","31100 - Alimentos y Bebidas para Personas, Desayuno Escolar y Otros"
31110,4,31100,"Gastos por Refrigerios al Personal Permanente, Eventual y Consultores","31110 - Gastos por Refrigerios al Personal Permanente, Eventual y Consultores"
31120,4,31100,Gastos por Alimentación y Otros Similares,31120 - Gastos por Alimentación y Otros Similares
31130,4,31100,Alimentación Complementaria Escolar,31130 - Alimentación Complementaria Escolar
31140,4,31100,"Alimentación Hospitalaria, Penitenciaria, Aeronaves y Otras Específicas","31140 - Alimentación Hospitalaria, Penitenciaria, Aeronaves y Otras Específicas"
31150,4,31100,Alimentos y Bebidas para la atención de emergencias y desastres naturales.,31150 - Alimentos y Bebidas para la atención de emergencias y desastres naturales.
31200,3,31000,Alimentos para Animales,31200 - Alimentos para Animales
31300,3,31000,"Productos Agrícolas, Pecuarios y Forestales","31300 - Productos Agrícolas, Pecuarios y Forestales"
32000,2,30000,"Productos de Papel, Cartón e Impresos","32000 - Productos de Papel, Cartón e Impresos"
32100,3,32000,Papel,32100 - Papel
32200,3,32000,Productos de Artes Gráficas,32200 - Productos de Artes Gráficas
32300,3,32000,"Libros, Manuales y Revistas","32300 - Libros, Manuales y Revistas"
32400,3,32000,Textos de Enseñanza,32400 - Textos de Enseñanza
32500,3,32000,Periódicos y Boletines,32500 - Periódicos y Boletines
33000,2,30000,Textiles y Vestuario,33000 - Textiles y Vestuario
33100,3,33000,"Hilados, Telas, Fibras y Algodón","33100 - Hilados, Telas, Fibras y Algodón"
33200,3,33000,Confecciones Textiles,33200 - Confecciones Textiles
33300,3,33000,Prendas de Vestir,33300 - Prendas de Vestir
33400,3,33000,Calzados,33400 - Calzados
34000,2,30000,"Combustibles, Productos Químicos, Farmacéuticos y Otras Fuentes de Energía","34000 - Combustibles, Productos Químicos, Farmacéuticos y Otras Fuentes de Energía"
34100,3,34000,"Combustibles, Lubricantes, Derivados y otras Fuentes de Energía","34100 - Combustibles, Lubricantes, Derivados y otras Fuentes de Energía"
34110,4,34100,"Combustibles, Lubricantes y Derivados para consumo","34110 - Combustibles, Lubricantes y Derivados para consumo"
34120,4,34100,"Combustibles, Lubricantes y Derivados para comercialización","34120 - Combustibles, Lubricantes y Derivados para comercialización"
