codigo_entidad,nombre_entidad,departamento_sigep,tipo,grupo_eta,presupuesto_total,key,depto_key,nivel,departamento_pop,provincia,municipio,area,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
1276,Gobierno Autónomo Municipal de Mapiri,La Paz,municipal,GAM,25040043.0,mapiri,la paz,Municipio/TIOC,La Paz,Larecaja,Mapiri,Mapiri,9633,13891,21843.0,11798,10045,1146.3646477132263
1277,Gobierno Autónomo Municipal de Teoponte,La Paz,municipal,GAM,40897486.0,teoponte,la paz,Municipio/TIOC,La Paz,Larecaja,Teoponte,Teoponte,7109,9349,13379.0,7310,6069,3056.8417669482023
1280,Gobierno Autónomo Municipal de Taraco,La Paz,municipal,GAM,10836830.0,taraco,la paz,Municipio/TIOC,La Paz,Ingavi,Taraco,Taraco,5922,6603,7540.0,3626,3914,1437.2453580901856
1281,Gobierno Autónomo Municipal de Huarina,La Paz,municipal,GAM,10914396.0,huarina,la paz,Municipio/TIOC,La Paz,Omasuyos,Huarina,Huarina,8290,7948,8679.0,4076,4603,1257.5637746284135
1282,Gobierno Autónomo Municipal de Santiago de Huata,La Paz,municipal,GAM,10133057.0,santiago de huata,la paz,Municipio/TIOC,La Paz,Omasuyos,Santiago de Huata,Santiago de Huata,7857,8562,9287.0,4612,4675,1091.1012167546032
1283,Gobierno Autónomo Municipal de Escoma,La Paz,municipal,GAM,8340439.0,escoma,la paz,Municipio/TIOC,La Paz,Camacho,Escoma,Escoma,7241,7186,8837.0,4461,4376,943.8088717890687
1284,Gobierno Autónomo Municipal de Humanata,La Paz,municipal,GAM,5501945.0,humanata,la paz,Municipio/TIOC,La Paz,Camacho,Humanata,Humanata,5599,5342,5658.0,2925,2733,972.4186991869918
1285,Gobierno Autónomo Municipal de Alto Beni,La Paz,municipal,GAM,10227654.0,alto beni,la paz,Municipio/TIOC,La Paz,Caranavi,Alto Beni,Alto Beni,8093,11194,10585.0,5749,4836,966.2403401039206
1286,Gobierno Autónomo Municipal de Huatajata,La Paz,municipal,GAM,6951578.0,huatajata,la paz,Municipio/TIOC,La Paz,Omasuyos,Huatajata,Huatajata,2809,3927,5118.0,2604,2514,1358.2606486908949
1287,Gobierno Autónomo Municipal de Chua Cocani,La Paz,municipal,GAM,7448504.0,chua cocani,la paz,Municipio/TIOC,La Paz,Omasuyos,Chua Cocani,Chua Cocani,5540,5003,7226.0,3646,3580,1030.7921394962634
1301,Gobierno Autónomo Municipal de Cochabamba,Cochabamba,municipal,GAM,1632368430.0,cochabamba,cochabamba,Municipio/TIOC,Cochabamba,Cercado,Cochabamba,Cochabamba,517024,632013,665505.0,319373,346132,2452.8266955169383
1302,Gobierno Autónomo Municipal de Quillacollo,Cochabamba,municipal,GAM,315423173.0,quillacollo,cochabamba,Municipio/TIOC,Cochabamba,Quillacollo,Quillacollo,Quillacollo,104206,137182,166741.0,80383,86358,1891.6953418775227
1304,Gobierno Autónomo Municipal de Tiquipaya,Cochabamba,municipal,GAM,128326653.0,tiquipaya,cochabamba,Municipio/TIOC,Cochabamba,Quillacollo,Tiquipaya,Tiquipaya,37791,53904,61840.0,29805,32035,2075.139925614489
1305,Gobierno Autónomo Municipal de Vinto,Cochabamba,municipal,GAM,81379151.0,vinto,cochabamba,Municipio/TIOC,Cochabamba,Quillacollo,Vinto,Vinto,31489,51968,56064.0,26947,29117,1451.5402218892693
1306,Gobierno Autónomo Municipal de Colcapirhua,Cochabamba,municipal,GAM,136788496.0,colcapirhua,cochabamba,Municipio/TIOC,Cochabamba,Quillacollo,Colcapirhua,Colcapirhua,41980,51990,66505.0,32204,34301,2056.815216900985
1307,Gobierno Autónomo Municipal de Aiquile,Cochabamba,municipal,GAM,25748151.0,aiquile,cochabamba,Municipio/TIOC,Cochabamba,Campero,Aiquile,Aiquile,26281,23267,23123.0,11513,11610,1113.5298620421227
1308,Gobierno Autónomo Municipal de Pasorapa,Cochabamba,municipal,GAM,6595000.0,pasorapa,cochabamba,Municipio/TIOC,Cochabamba,Campero,Pasorapa,Pasorapa,4659,6853,6475.0,3504,2971,1018.5328185328185
1309,Gobierno Autónomo Municipal de Omereque,Cochabamba,municipal,GAM,8441040.0,omereque,cochabamba,Municipio/TIOC,Cochabamba,Campero,Omereque,Omereque,6071,5643,6700.0,3422,3278,1259.8567164179105
1311,Gobierno Autónomo Municipal de Morochata,Cochabamba,municipal,GAM,24730065.0,morochata,cochabamba,Municipio/TIOC,Cochabamba,Ayopaya,Morochata,Morochata,17073,12797,14720.0,7552,7168,1680.031589673913
