nivel,departamento,provincia,municipio,area,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024
Municipio/TIOC,La Paz,Caranavi,Caranavi,Caranavi,43060,50330,59676,31048,28628
Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Apolo,13271,20308,19156,10226,8930
Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Pelechuco,5115,6780,9060,5280,3780
Municipio/TIOC,La Paz,General José Manuel Pando,Catacora,Catacora,1735,2881,5351,2774,2577
Municipio/TIOC,La Paz,General José Manuel Pando,Santiago de Machaca,Santiago de Machaca,4402,4593,6805,3408,3397
Municipio/TIOC,La Paz,Gualberto Villarroel,Chacarilla,Chacarilla,1566,2004,2052,1090,962
Municipio/TIOC,La Paz,Gualberto Villarroel,Papel Pampa,Papel Pampa,6053,7003,6649,3558,3091
Municipio/TIOC,La Paz,Gualberto Villarroel,San Pedro de Curahuara,San Pedro de Curahuara,8103,8858,9217,4896,4321
Municipio/TIOC,La Paz,Ingavi,Desaguadero,Desaguadero,4981,6987,7897,3912,3985
Municipio/TIOC,La Paz,Ingavi,Jesús de Machaka,Jesús de Machaka,13247,15039,17016,8536,8480
Municipio/TIOC,La Paz,Ingavi,La (Marka) San Andrés de Machaca,La (Marka) San Andrés de Machaca,6299,6145,7936,4046,3890
Municipio/TIOC,La Paz,Ingavi,Puerto Mayor de Guaqui,Puerto Mayor de Guaqui,7552,7278,8592,4311,4281
Municipio/TIOC,La Paz,Ingavi,Taraco,Taraco,5922,6603,7540,3626,3914
Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Tiahuanacu,11309,12189,13648,6520,7128
Municipio/TIOC,La Paz,Ingavi,Viacha,Viacha,46596,80724,113554,56294,57260
Municipio/TIOC,La Paz,Inquisivi,Cajuata,Cajuata,7757,10458,15565,8016,7549
Municipio/TIOC,La Paz,Inquisivi,Colquiri,Colquiri,18351,19620,23505,12386,11119
Municipio/TIOC,La Paz,Inquisivi,Ichoca,Ichoca,6839,7913,9552,5128,4424
Municipio/TIOC,La Paz,Inquisivi,Inquisivi,Inquisivi,16143,14717,18679,10079,8600
Municipio/TIOC,La Paz,Inquisivi,Quime,Quime,7338,8266,10887,6084,4803
Municipio/TIOC,La Paz,Inquisivi,Villa Libertad Licoma,Villa Libertad Licoma,2739,5488,7877,3957,3920
Municipio/TIOC,La Paz,Larecaja,Combaya,Combaya,2691,3731,3529,1852,1677
Municipio/TIOC,La Paz,Larecaja,Guanay,Guanay,11528,14788,16386,8758,7628
Municipio/TIOC,La Paz,Larecaja,Mapiri,Mapiri,9633,13891,21843,11798,10045
Municipio/TIOC,La Paz,Larecaja,Quiabaya,Quiabaya,2580,2684,4224,2181,2043
Municipio/TIOC,La Paz,Larecaja,Sorata,Sorata,18932,23512,30083,15291,14792
Municipio/TIOC,La Paz,Larecaja,Tacacoma,Tacacoma,6269,8182,9761,5161,4600
Municipio/TIOC,La Paz,Larecaja,Teoponte,Teoponte,7109,9349,13379,7310,6069
Municipio/TIOC,La Paz,Larecaja,Tipuani,Tipuani,9321,9985,7716,4240,3476
Municipio/TIOC,La Paz,Loayza,Cairoma,Cairoma,11338,11355,13598,7105,6493
Municipio/TIOC,La Paz,Loayza,Luribay,Luribay,9004,11139,10703,5464,5239
Municipio/TIOC,La Paz,Loayza,Malla,Malla,3733,5180,5297,2884,2413
Municipio/TIOC,La Paz,Loayza,Sapahaqui,Sapahaqui,11790,12484,16497,8322,8175
Municipio/TIOC,La Paz,Loayza,Yaco,Yaco,7866,7315,12296,6560,5736
Municipio/TIOC,La Paz,Los Andes,Batallas,Batallas,20925,17426,20607,9862,10745
Municipio/TIOC,La Paz,Los Andes,Laja,Laja,16311,24531,38652,18939,19713
Municipio/TIOC,La Paz,Los Andes,Pucarani,Pucarani,24570,30124,49850,24339,25511
Municipio/TIOC,La Paz,Los Andes,Puerto Pérez,Puerto Pérez,7830,6498,7900,3858,4042
Municipio/TIOC,La Paz,Manco Kapac,Copacabana,Copacabana,14586,14931,17463,8481,8982
Municipio/TIOC,La Paz,Manco Kapac,San Pedro de Tiquina,San Pedro de Tiquina,6093,6052,9164,4625,4539
Municipio/TIOC,La Paz,Manco Kapac,Tito Yupanqui,Tito Yupanqui,2213,6261,7525,3986,3539
Municipio/TIOC,La Paz,Murillo,Achocalla,Achocalla,15110,22431,46188,22869,23319
Municipio/TIOC,La Paz,Murillo,El Alto,El Alto,649958,848452,885825,427374,458451
Municipio/TIOC,La Paz,Murillo,Mecapaca,Mecapaca,11782,15834,20446,10240,10206
Municipio/TIOC,La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,793293,766468,757431,366639,390792
Municipio/TIOC,La Paz,Murillo,Palca,Palca,14185,16622,21729,10902,10827
Municipio/TIOC,La Paz,Muñecas,Aucapata,Aucapata,4146,5495,6721,3653,3068
Municipio/TIOC,La Paz,Muñecas,Ayata,Ayata,8143,8410,9029,4772,4257
Municipio/TIOC,La Paz,Muñecas,Chuma,Chuma,12843,11473,17830,9271,8559
Municipio/TIOC,La Paz,Nor Yungas,Coripata,Coripata,11444,16930,23530,12072,11458
Municipio/TIOC,La Paz,Nor Yungas,Coroico,Coroico,12237,19397,27711,14271,13440
Municipio/TIOC,La Paz,Omasuyos,Achacachi,Achacachi,45875,46058,47257,23143,24114
Municipio/TIOC,La Paz,Omasuyos,Chua Cocani,Chua Cocani,5540,5003,7226,3646,3580
Municipio/TIOC,La Paz,Omasuyos,Huarina,Huarina,8290,7948,8679,4076,4603
Municipio/TIOC,La Paz,Omasuyos,Huatajata,Huatajata,2809,3927,5118,2604,2514
Municipio/TIOC,La Paz,Omasuyos,Santiago de Huata,Santiago de Huata,7857,8562,9287,4612,4675
Municipio/TIOC,La Paz,Omasuyos,Villa Ancoraimes,Villa Ancoraimes,15199,13136,16953,8472,8481
Municipio/TIOC,La Paz,Pacajes,Calacoto,Calacoto,8818,9879,12219,6262,5957
Municipio/TIOC,La Paz,Pacajes,Caquiaviri,Caquiaviri,11901,14687,15570,7851,7719
Municipio/TIOC,La Paz,Pacajes,Charaña,Charaña,2766,3246,4221,2185,2036
Municipio/TIOC,La Paz,Pacajes,Comanche,Comanche,3862,3880,5238,2547,2691
Municipio/TIOC,La Paz,Pacajes,Corocoro,Corocoro,11813,10647,13551,6965,6586
Municipio/TIOC,La Paz,Pacajes,Nazacara de Pacajes,Nazacara de Pacajes,267,619,4022,2050,1972
Municipio/TIOC,La Paz,Pacajes,Santiago de Callapa,Santiago de Callapa,8099,7289,8037,4177,3860
Municipio/TIOC,La Paz,Pacajes,Waldo Ballivián,Waldo Ballivián,1657,5069,6442,3546,2896
Municipio/TIOC,La Paz,Sur Yungas,Chulumani,Chulumani,13204,17823,18303,9123,9180
Municipio/TIOC,La Paz,Sur Yungas,Irupana,Irupana,11383,17276,23279,12803,10476
Municipio/TIOC,La Paz,Sur Yungas,La Asunta,La Asunta,18016,40178,45587,23906,21681
Municipio/TIOC,La Paz,Sur Yungas,Palos Blancos,Palos Blancos,16786,24731,27137,14341,12796
Municipio/TIOC,La Paz,Sur Yungas,Yanacachi,Yanacachi,4250,6420,7615,3934,3681
Municipio/TIOC,Oruro,Abaroa,Challapata,Challapata,24370,28918,35427,18417,17010
Municipio/TIOC,Oruro,Abaroa,Santuario de Quillacas,Santuario de Quillacas,3305,4051,5161,2665,2496
Municipio/TIOC,Oruro,Carangas,Choquecota,Choquecota,1615,1850,2504,1295,1209
Municipio/TIOC,Oruro,Carangas,Corque,Corque,8548,9221,16101,8170,7931
Municipio/TIOC,Oruro,Cercado,Caracollo,Caracollo,20619,23115,22850,11464,11386
Municipio/TIOC,Oruro,Cercado,El Choro,El Choro,5710,8725,9997,5118,4879
Municipio/TIOC,Oruro,Cercado,Oruro,Oruro,201504,264943,298350,142260,156090
Municipio/TIOC,Oruro,Cercado,Paria,Paria,13978,12846,15764,8057,7707
Municipio/TIOC,Oruro,Ladislao Cabrera,Pampa Aullagas,Pampa Aullagas,2975,2973,3197,1661,1536
Municipio/TIOC,Oruro,Ladislao Cabrera,Salinas de Garci Mendoza (Autonomía Indígena Originario Campesina de Salinas),Salinas de Garci Mendoza (Autonomía Indígena Originario Campesina de Salinas),8723,11878,15934,8162,7772
Municipio/TIOC,Oruro,Litoral,Cruz de Machacamarca,Cruz de Machacamarca,869,1967,1517,778,739
Municipio/TIOC,Oruro,Litoral,Escara,Escara,863,4223,4231,2234,1997
