;;;;;;;;;;;;;No Pobre;;;Pobre;;
N°;NIVEL;DEPARTAMENTO;PROVINCIA;MUNICIPIO / TIOC;ÁREA;Inadecuados Materiales de la Vivienda;Insuficientes Espacios en la Vivienda;Inadecuados Servicios de Agua y Saneamiento;Inadecuados Insumos Energéticos;Insuficiencia en educación;Inadecuada atención en salud;Total Población No Pobre;Necesidades Básicas Satisfechas;Umbral;Total Población Pobre;Moderada;Indigente;Marginal
120;Municipio;CHUQUISACA;Luis Calvo;Huacaya (Autonomía Guaraní Chaqueño de Huacaya);Rural;784;1.836;805;1.690;1.103;154;54,6;12,9;41,7;45,4;43,8;1,5;0,2
121;Municipio;CHUQUISACA;Luis Calvo;Macharetí;Macharetí;2.595;4.147;1.898;3.154;2.952;608;52,3;15,1;37,2;47,7;42,4;5,2;0
122;Municipio;CHUQUISACA;Luis Calvo;Macharetí;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
123;Municipio;CHUQUISACA;Luis Calvo;Macharetí;Rural;2.595;4.147;1.898;3.154;2.952;608;52,3;15,1;37,2;47,7;42,4;5,2;0
124;Departamento;LA PAZ;;;LA PAZ;704.366;1.595.586;830.566;554.459;768.996;638.684;68,2;30,3;37,9;31,8;27,8;3,9;0,1
125;Departamento;LA PAZ;;;Urbana;145.528;956.098;209.809;51.961;331.353;390.067;84,8;42,7;42,1;15,2;14,4;0,8;0
126;Departamento;LA PAZ;;;Rural;558.838;639.488;620.757;502.498;437.643;248.617;37,3;7,3;30;62,7;52,9;9,6;0,2
127;Provincia;LA PAZ;Murillo;;Murillo;115.489;829.537;154.635;41.074;281.298;347.987;85,7;45,2;40,5;14,3;13,5;0,8;0
128;Provincia;LA PAZ;Murillo;;Urbana;96.305;795.486;122.228;23.906;257.849;331.994;87,1;46,2;40,8;12,9;12,4;0,5;0
129;Provincia;LA PAZ;Murillo;;Rural;19.184;34.051;32.407;17.168;23.449;15.993;43,9;13,2;30,7;56,1;46,3;9,6;0,2
130;Municipio;LA PAZ;Murillo;Nuestra Señora de La Paz;Nuestra Señora de La Paz;24.726;323.130;34.873;7.475;76.735;98.253;92,8;60,7;32;7,2;6,9;0,3;0
131;Municipio;LA PAZ;Murillo;Nuestra Señora de La Paz;Urbana;21.575;318.692;30.756;4.131;73.874;96.141;93,3;61,2;32,1;6,7;6,5;0,2;0
132;Municipio;LA PAZ;Murillo;Nuestra Señora de La Paz;Rural;3.151;4.438;4.117;3.344;2.861;2.112;38,3;9,1;29,1;61,7;46,9;14,4;0,4
133;Municipio;LA PAZ;Murillo;Palca;Palca;8.503;13.439;14.639;7.359;10.357;6.636;34,7;5,8;28,8;65,3;54,6;10,5;0,2
134;Municipio;LA PAZ;Murillo;Palca;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
135;Municipio;LA PAZ;Murillo;Palca;Rural;8.503;13.439;14.639;7.359;10.357;6.636;34,7;5,8;28,8;65,3;54,6;10,5;0,2
136;Municipio;LA PAZ;Murillo;Mecapaca;Mecapaca;5.090;11.441;9.348;4.580;7.450;4.797;57,9;25,2;32,7;42,1;35,4;6,7;0,1
137;Municipio;LA PAZ;Murillo;Mecapaca;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
138;Municipio;LA PAZ;Murillo;Mecapaca;Rural;5.090;11.441;9.348;4.580;7.450;4.797;57,9;25,2;32,7;42,1;35,4;6,7;0,1
139;Municipio;LA PAZ;Murillo;Achocalla;Achocalla;7.710;25.918;27.093;5.801;13.105;11.727;56,8;12,2;44,5;43,2;38,7;4,4;0,1
140;Municipio;LA PAZ;Murillo;Achocalla;Urbana;5.573;21.695;23.321;4.272;10.486;9.590;59,7;13,5;46,2;40,3;36,8;3,5;0,1
141;Municipio;LA PAZ;Murillo;Achocalla;Rural;2.137;4.223;3.772;1.529;2.619;2.137;38,6;4,6;34;61,4;50,9;10,3;0,2
142;Municipio;LA PAZ;Murillo;El Alto;El Alto;69.460;455.609;68.682;15.859;173.651;226.574;83,1;35,3;47,8;16,9;16,2;0,7;0
143;Municipio;LA PAZ;Murillo;El Alto;Urbana;69.157;455.099;68.151;15.503;173.489;226.263;83,2;35,3;47,9;16,8;16,1;0,7;0
144;Municipio;LA PAZ;Murillo;El Alto;Rural;303;510;531;356;162;311;18,3;1,3;16,9;81,7;68,5;12,4;0,8
145;Provincia;LA PAZ;Omasuyos;;Omasuyos;41.479;46.469;39.339;33.298;35.393;23.929;51,5;15,2;36,3;48,5;41,9;6,4;0,1
146;Provincia;LA PAZ;Omasuyos;;Urbana;1.602;4.039;1.315;379;2.177;2.310;78,1;33,6;44,6;21,9;20,4;1,5;0
147;Provincia;LA PAZ;Omasuyos;;Rural;39.877;42.430;38.024;32.919;33.216;21.619;48,6;13,2;35,4;51,4;44,3;7;0,2
148;Municipio;LA PAZ;Omasuyos;Achacachi;Achacachi;19.592;22.620;17.278;12.053;17.484;13.150;54,5;15,3;39,2;45,5;39,6;5,8;0,1
149;Municipio;LA PAZ;Omasuyos;Achacachi;Urbana;1.602;4.039;1.315;379;2.177;2.310;78,1;33,6;44,6;21,9;20,4;1,5;0
150;Municipio;LA PAZ;Omasuyos;Achacachi;Rural;17.990;18.581;15.963;11.674;15.307;10.840;48,7;10,9;37,8;51,3;44,3;6,9;0,1
151;Municipio;LA PAZ;Omasuyos;Villa Ancoraimes;Villa Ancoraimes;11.147;9.617;9.853;10.158;8.153;5.307;28,9;5,1;23,8;71,1;59;11,7;0,3
152;Municipio;LA PAZ;Omasuyos;Villa Ancoraimes;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
153;Municipio;LA PAZ;Omasuyos;Villa Ancoraimes;Rural;11.147;9.617;9.853;10.158;8.153;5.307;28,9;5,1;23,8;71,1;59;11,7;0,3
