;;;;;;;;;;;;;No Pobre;;;Pobre;;
N°;NIVEL;DEPARTAMENTO;PROVINCIA;MUNICIPIO / TIOC;ÁREA;Inadecuados Materiales de la Vivienda;Insuficientes Espacios en la Vivienda;Inadecuados Servicios de Agua y Saneamiento;Inadecuados Insumos Energéticos;Insuficiencia en educación;Inadecuada atención en salud;Total Población No Pobre;Necesidades Básicas Satisfechas;Umbral;Total Población Pobre;Moderada;Indigente;Marginal
346;Municipio;LA PAZ;Los Andes;Laja;Laja;16.136;24.582;17.496;13.382;14.624;12.743;42,2;8,9;33,3;57,8;48,9;8,8;0,2
347;Municipio;LA PAZ;Los Andes;Laja;Urbana;1.683;6.344;2.714;1.222;2.361;2.827;70,4;19,8;50,6;29,6;27,4;2,1;0,1
348;Municipio;LA PAZ;Los Andes;Laja;Rural;14.453;18.238;14.782;12.160;12.263;9.916;30,9;4,6;26,4;69,1;57,4;11,5;0,2
349;Municipio;LA PAZ;Los Andes;Batallas;Batallas;7.430;10.221;9.482;5.242;7.822;6.300;49,7;11,6;38,1;50,3;43,2;7;0,1
350;Municipio;LA PAZ;Los Andes;Batallas;Urbana;307;1.308;365;166;762;647;80,6;28,5;52,1;19,4;17,8;1,5;0
351;Municipio;LA PAZ;Los Andes;Batallas;Rural;7.123;8.913;9.117;5.076;7.060;5.653;44,5;8,7;35,8;55,5;47,5;7,9;0,2
352;Municipio;LA PAZ;Los Andes;Puerto Pérez;Puerto Pérez;2.750;4.387;6.007;2.263;3.517;1.887;32,5;5,6;26,9;67,5;59,4;7,9;0,2
353;Municipio;LA PAZ;Los Andes;Puerto Pérez;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
354;Municipio;LA PAZ;Los Andes;Puerto Pérez;Rural;2.750;4.387;6.007;2.263;3.517;1.887;32,5;5,6;26,9;67,5;59,4;7,9;0,2
355;Provincia;LA PAZ;Aroma;;Aroma;45.794;64.709;64.707;31.596;38.938;25.095;46,3;7,6;38,7;53,7;47,1;6,4;0,2
356;Provincia;LA PAZ;Aroma;;Urbana;7.764;17.852;17.241;3.612;8.896;6.824;64,8;13,1;51,7;35,2;32,2;2,9;0,1
357;Provincia;LA PAZ;Aroma;;Rural;38.030;46.857;47.466;27.984;30.042;18.271;38,2;5,1;33;61,8;53,6;8;0,2
358;Municipio;LA PAZ;Aroma;Sicasica;Sicasica;15.225;20.658;21.232;11.828;12.372;6.942;41;7,1;33,9;59;51,5;7,2;0,2
359;Municipio;LA PAZ;Aroma;Sicasica;Urbana;2.196;4.954;4.927;1.238;2.732;1.583;63,5;14,9;48,7;36,5;33,7;2,7;0,1
360;Municipio;LA PAZ;Aroma;Sicasica;Rural;13.029;15.704;16.305;10.590;9.640;5.359;32;4;27,9;68;58,7;9,1;0,3
361;Municipio;LA PAZ;Aroma;Umala;Umala;3.581;4.968;5.046;3.607;3.337;2.102;39,5;6,8;32,7;60,5;54;6,5;0,1
362;Municipio;LA PAZ;Aroma;Umala;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
363;Municipio;LA PAZ;Aroma;Umala;Rural;3.581;4.968;5.046;3.607;3.337;2.102;39,5;6,8;32,7;60,5;54;6,5;0,1
364;Municipio;LA PAZ;Aroma;Ayo Ayo;Ayo Ayo;6.236;6.145;8.466;4.546;4.285;2.684;30,9;4,2;26,7;69,1;58,5;10,3;0,2
365;Municipio;LA PAZ;Aroma;Ayo Ayo;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
366;Municipio;LA PAZ;Aroma;Ayo Ayo;Rural;6.236;6.145;8.466;4.546;4.285;2.684;30,9;4,2;26,7;69,1;58,5;10,3;0,2
367;Municipio;LA PAZ;Aroma;Calamarca;Calamarca;6.915;8.881;8.042;3.886;5.714;3.735;46;7,4;38,6;54;47,2;6,7;0,1
368;Municipio;LA PAZ;Aroma;Calamarca;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
369;Municipio;LA PAZ;Aroma;Calamarca;Rural;6.915;8.881;8.042;3.886;5.714;3.735;46;7,4;38,6;54;47,2;6,7;0,1
370;Municipio;LA PAZ;Aroma;Patacamaya;Patacamaya;7.653;13.529;10.645;4.534;8.484;7.131;54,3;11,5;42,8;45,7;39,9;5,7;0,1
371;Municipio;LA PAZ;Aroma;Patacamaya;Urbana;2.533;6.524;4.478;1.062;3.429;3.696;67,2;18,7;48,5;32,8;29,3;3,5;0
372;Municipio;LA PAZ;Aroma;Patacamaya;Rural;5.120;7.005;6.167;3.472;5.055;3.435;39,9;3,4;36,5;60,1;51,8;8,1;0,2
373;Municipio;LA PAZ;Aroma;Colquencha;Colquencha;4.412;6.554;8.142;2.342;3.501;1.602;57,1;4,7;52,4;42,9;39,3;3,3;0,2
374;Municipio;LA PAZ;Aroma;Colquencha;Urbana;2.009;3.684;5.649;920;1.957;974;62,9;4,4;58,5;37,1;34,4;2,5;0,3
375;Municipio;LA PAZ;Aroma;Colquencha;Rural;2.403;2.870;2.493;1.422;1.544;628;47,9;5,1;42,8;52,1;47,2;4,7;0,2
376;Municipio;LA PAZ;Aroma;Collana;Collana;1.772;3.974;3.134;853;1.245;899;60,9;7,5;53,4;39,1;35,3;3,5;0,3
377;Municipio;LA PAZ;Aroma;Collana;Urbana;1.026;2.690;2.187;392;778;571;63,7;6,6;57;36,3;34,2;2,1;0
378;Municipio;LA PAZ;Aroma;Collana;Rural;746;1.284;947;461;467;328;55,4;9,3;46,1;44,6;37,5;6,3;0,8
379;Provincia;LA PAZ;Nor Yungas;;Nor Yungas;15.750;30.607;20.867;13.258;17.954;8.450;58,2;14,7;43,5;41,8;37,3;4,3;0,1
380;Provincia;LA PAZ;Nor Yungas;;Urbana;491;3.213;837;369;1.505;690;83,1;27,7;55,4;16,9;16,1;0,8;0,1
381;Provincia;LA PAZ;Nor Yungas;;Rural;15.259;27.394;20.030;12.889;16.449;7.760;55,1;13;42;44,9;40;4,8;0,1
382;Municipio;LA PAZ;Nor Yungas;Coroico;Coroico;10.403;17.788;12.730;9.515;9.062;4.178;51,9;13,5;38,4;48,1;42,5;5,4;0,2
383;Municipio;LA PAZ;Nor Yungas;Coroico;Urbana;202;1.502;569;202;549;275;83,8;36,2;47,7;16,2;15,5;0,6;0,1
384;Municipio;LA PAZ;Nor Yungas;Coroico;Rural;10.201;16.286;12.161;9.313;8.513;3.903;48,4;11;37,4;51,6;45,5;6;0,2
385;Municipio;LA PAZ;Nor Yungas;Coripata;Coripata;5.347;12.819;8.137;3.743;8.892;4.272;65,6;16,1;49,4;34,4;31,2;3,1;0,1
386;Municipio;LA PAZ;Nor Yungas;Coripata;Urbana;289;1.711;268;167;956;415;82,4;20,1;62,2;17,6;16,7;0,9;0
387;Municipio;LA PAZ;Nor Yungas;Coripata;Rural;5.058;11.108;7.869;3.576;7.936;3.857;63,1;15,6;47,6;36,9;33,4;3,4;0,1
388;Provincia;LA PAZ;Abel Iturralde;;Abel Iturralde;8.485;15.985;8.848;8.232;7.515;3.194;52,7;11;41,7;47,3;41,1;6,1;0,1
389;Provincia;LA PAZ;Abel Iturralde;;Urbana;2.323;6.339;3.029;1.139;2.623;1.049;68,6;14,2;54,4;31,4;29,9;1,4;0
390;Provincia;LA PAZ;Abel Iturralde;;Rural;6.162;9.646;5.819;7.093;4.892;2.145;41,2;8,7;32,5;58,8;49,1;9,5;0,2
391;Municipio;LA PAZ;Abel Iturralde;Ixiamas;Ixiamas;5.084;8.386;6.431;5.388;4.265;2.196;39,9;8,9;31;60,1;51,1;8,7;0,3
392;Municipio;LA PAZ;Abel Iturralde;Ixiamas;Urbana;1.145;2.981;1.827;502;1.262;619;66,4;13;53,4;33,6;32,2;1,4;0
393;Municipio;LA PAZ;Abel Iturralde;Ixiamas;Rural;3.939;5.405;4.604;4.886;3.003;1.577;23,2;6,3;16,9;76,8;63;13,4;0,4
394;Municipio;LA PAZ;Abel Iturralde;San Buenaventura;San Buenaventura;3.401;7.599;2.417;2.844;3.250;998;67;13,4;53,7;33;29,8;3,2;0
395;Municipio;LA PAZ;Abel Iturralde;San Buenaventura;Urbana;1.178;3.358;1.202;637;1.361;430;70,8;15,4;55,4;29,2;27,7;1,5;0
396;Municipio;LA PAZ;Abel Iturralde;San Buenaventura;Rural;2.223;4.241;1.215;2.207;1.889;568;63,9;11,7;52,2;36,1;31,5;4,6;0
397;Provincia;LA PAZ;Bautista Saavedra;;Bautista Saavedra;15.986;14.836;13.026;14.895;11.153;6.268;26;3,8;22,2;74;59,5;14,1;0,3
398;Provincia;LA PAZ;Bautista Saavedra;;Urbana;2.363;2.064;1.120;2.233;1.692;989;16,7;1,2;15,5;83,3;67;15,9;0,4
399;Provincia;LA PAZ;Bautista Saavedra;;Rural;13.623;12.772;11.906;12.662;9.461;5.279;27,3;4,2;23,1;72,7;58,5;13,8;0,3
400;Municipio;LA PAZ;Bautista Saavedra;Charazani;Charazani;11.236;10.067;9.285;10.924;7.720;3.812;26,3;4,5;21,8;73,7;61,2;12,1;0,3
401;Municipio;LA PAZ;Bautista Saavedra;Charazani;Urbana;2.363;2.064;1.120;2.233;1.692;989;16,7;1,2;15,5;83,3;67;15,9;0,4
402;Municipio;LA PAZ;Bautista Saavedra;Charazani;Rural;8.873;8.003;8.165;8.691;6.028;2.823;28,3;5,2;23,1;71,7;60;11,4;0,3
403;Municipio;LA PAZ;Bautista Saavedra;Curva;Curva;4.750;4.769;3.741;3.971;3.433;2.456;25,4;2,3;23,1;74,6;55,5;18,7;0,4
404;Municipio;LA PAZ;Bautista Saavedra;Curva;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
405;Municipio;LA PAZ;Bautista Saavedra;Curva;Rural;4.750;4.769;3.741;3.971;3.433;2.456;25,4;2,3;23,1;74,6;55,5;18,7;0,4
406;Provincia;LA PAZ;Manco Kapac;;Manco Kapac;11.912;19.130;17.289;14.877;14.843;9.696;45,4;8,9;36,5;54,6;46;8,5;0,2
407;Provincia;LA PAZ;Manco Kapac;;Urbana;2.237;5.808;4.252;1.942;3.122;1.868;60,6;14,3;46,3;39,4;35,5;3,8;0,1
408;Provincia;LA PAZ;Manco Kapac;;Rural;9.675;13.322;13.037;12.935;11.721;7.828;39,4;6,7;32,7;60,6;50,1;10,3;0,2
409;Municipio;LA PAZ;Manco Kapac;Copacabana;Copacabana;5.514;8.568;7.004;6.849;7.791;6.266;49,3;11;38,3;50,7;42,1;8,5;0,1
410;Municipio;LA PAZ;Manco Kapac;Copacabana;Urbana;958;2.755;1.641;724;1.899;1.383;72,6;22,3;50,4;27,4;23,6;3,7;0,1
411;Municipio;LA PAZ;Manco Kapac;Copacabana;Rural;4.556;5.813;5.363;6.125;5.892;4.883;37,2;5,2;32;62,8;51,7;10,9;0,2
412;Municipio;LA PAZ;Manco Kapac;San Pedro de Tiquina;San Pedro de Tiquina;2.649;4.604;4.869;3.898;3.622;1.683;51;11,1;39,8;49;43,4;5,5;0,1
413;Municipio;LA PAZ;Manco Kapac;San Pedro de Tiquina;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
414;Municipio;LA PAZ;Manco Kapac;San Pedro de Tiquina;Rural;2.649;4.604;4.869;3.898;3.622;1.683;51;11,1;39,8;49;43,4;5,5;0,1
415;Municipio;LA PAZ;Manco Kapac;Tito Yupanqui;Tito Yupanqui;3.749;5.958;5.416;4.130;3.430;1.747;29,6;1,1;28,5;70,4;58;12,2;0,2
416;Municipio;LA PAZ;Manco Kapac;Tito Yupanqui;Urbana;1.279;3.053;2.611;1.218;1.223;485;40,4;0,9;39,5;59,6;55,6;4,1;0
417;Municipio;LA PAZ;Manco Kapac;Tito Yupanqui;Rural;2.470;2.905;2.805;2.912;2.207;1.262;20;1,3;18,7;80;60,2;19,4;0,4
418;Provincia;LA PAZ;Gualberto Villarroel;;Gualberto Villarroel;11.158;12.338;14.803;10.573;6.301;2.795;22;2;20,1;78;68,2;9,6;0,1
419;Provincia;LA PAZ;Gualberto Villarroel;;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
420;Provincia;LA PAZ;Gualberto Villarroel;;Rural;11.158;12.338;14.803;10.573;6.301;2.795;22;2;20,1;78;68,2;9,6;0,1
421;Municipio;LA PAZ;Gualberto Villarroel;San Pedro de Curahuara;San Pedro de Curahuara;6.024;6.548;7.236;5.157;2.908;1.591;22,1;2,1;20;77,9;68,6;9,2;0,1
422;Municipio;LA PAZ;Gualberto Villarroel;San Pedro de Curahuara;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
423;Municipio;LA PAZ;Gualberto Villarroel;San Pedro de Curahuara;Rural;6.024;6.548;7.236;5.157;2.908;1.591;22,1;2,1;20;77,9;68,6;9,2;0,1
424;Municipio;LA PAZ;Gualberto Villarroel;Papel Pampa;Papel Pampa;3.883;4.399;5.678;3.932;2.613;809;24,7;1,7;22,9;75,3;66,5;8,7;0,1
425;Municipio;LA PAZ;Gualberto Villarroel;Papel Pampa;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
426;Municipio;LA PAZ;Gualberto Villarroel;Papel Pampa;Rural;3.883;4.399;5.678;3.932;2.613;809;24,7;1,7;22,9;75,3;66,5;8,7;0,1
427;Municipio;LA PAZ;Gualberto Villarroel;Chacarilla;Chacarilla;1.251;1.391;1.889;1.484;780;395;13,1;1,9;11,3;86,9;72,1;14,6;0,2
428;Municipio;LA PAZ;Gualberto Villarroel;Chacarilla;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
429;Municipio;LA PAZ;Gualberto Villarroel;Chacarilla;Rural;1.251;1.391;1.889;1.484;780;395;13,1;1,9;11,3;86,9;72,1;14,6;0,2
430;Provincia;LA PAZ;General José Manuel Pando;;General José Manuel Pando;7.764;8.372;8.005;6.967;4.225;2.341;30;5,2;24,8;70;62,3;7,4;0,2
431;Provincia;LA PAZ;General José Manuel Pando;;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
432;Provincia;LA PAZ;General José Manuel Pando;;Rural;7.764;8.372;8.005;6.967;4.225;2.341;30;5,2;24,8;70;62,3;7,4;0,2
433;Municipio;LA PAZ;General José Manuel Pando;Santiago de Machaca;Santiago de Machaca;4.126;4.134;4.447;4.511;2.520;1.567;31,3;6,9;24,4;68,7;60,2;8,5;0
434;Municipio;LA PAZ;General José Manuel Pando;Santiago de Machaca;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
435;Municipio;LA PAZ;General José Manuel Pando;Santiago de Machaca;Rural;4.126;4.134;4.447;4.511;2.520;1.567;31,3;6,9;24,4;68,7;60,2;8,5;0
436;Municipio;LA PAZ;General José Manuel Pando;Catacora;Catacora;3.638;4.238;3.558;2.456;1.705;774;28,5;3,1;25,4;71,5;65;6,1;0,5
437;Municipio;LA PAZ;General José Manuel Pando;Catacora;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
438;Municipio;LA PAZ;General José Manuel Pando;Catacora;Rural;3.638;4.238;3.558;2.456;1.705;774;28,5;3,1;25,4;71,5;65;6,1;0,5
439;Provincia;LA PAZ;Caranavi;;Caranavi;35.715;48.492;33.853;33.558;23.730;11.772;42,8;9,5;33,3;57,2;50,1;7;0,2
440;Provincia;LA PAZ;Caranavi;;Urbana;4.065;12.807;5.320;2.044;5.041;3.365;71,9;21;51;28,1;25,6;2,5;0,1
441;Provincia;LA PAZ;Caranavi;;Rural;31.650;35.685;28.533;31.514;18.689;8.407;30,9;4,9;26;69,1;60,1;8,8;0,2
442;Municipio;LA PAZ;Caranavi;Caranavi;Caranavi;29.360;41.403;27.517;27.960;19.886;10.444;44,2;9,9;34,2;55,8;49,3;6,4;0,2
443;Municipio;LA PAZ;Caranavi;Caranavi;Urbana;4.065;12.807;5.320;2.044;5.041;3.365;71,9;21;51;28,1;25,6;2,5;0,1
444;Municipio;LA PAZ;Caranavi;Caranavi;Rural;25.295;28.596;22.197;25.916;14.845;7.079;29,7;4,2;25,5;70,3;61,7;8,4;0,2
445;Municipio;LA PAZ;Caranavi;Alto Beni;Alto Beni;6.355;7.089;6.336;5.598;3.844;1.328;35,2;7,2;28;64,8;54,3;10,2;0,2
446;Municipio;LA PAZ;Caranavi;Alto Beni;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
447;Municipio;LA PAZ;Caranavi;Alto Beni;Rural;6.355;7.089;6.336;5.598;3.844;1.328;35,2;7,2;28;64,8;54,3;10,2;0,2
448;Departamento;COCHABAMBA;;;COCHABAMBA;373.690;1.205.878;613.861;315.370;656.006;303.776;70,1;31,2;38,9;29,9;25,7;4,1;0,1
449;Departamento;COCHABAMBA;;;Urbana;74.515;843.505;311.463;34.648;326.477;197.871;82,8;40,5;42,4;17,2;16,2;0,9;0
450;Departamento;COCHABAMBA;;;Rural;299.175;362.373;302.398;280.722;329.529;105.905;39,2;8,8;30,3;60,8;48,6;11,8;0,4
451;Provincia;COCHABAMBA;Cercado;;Cercado;26.836;377.401;158.098;11.145;125.354;97.503;83;45,8;37,2;17;16;1;0
452;Provincia;COCHABAMBA;Cercado;;Urbana;26.813;377.390;158.076;11.122;125.339;97.494;83;45,8;37,2;17;16;1;0
453;Provincia;COCHABAMBA;Cercado;;Rural;23;11;22;23;15;9;0;0;0;100;52,2;47,8;0
454;Municipio;COCHABAMBA;Cercado;Cochabamba;Cochabamba;26.836;377.401;158.098;11.145;125.354;97.503;83;45,8;37,2;17;16;1;0
455;Municipio;COCHABAMBA;Cercado;Cochabamba;Urbana;26.813;377.390;158.076;11.122;125.339;97.494;83;45,8;37,2;17;16;1;0
456;Municipio;COCHABAMBA;Cercado;Cochabamba;Rural;23;11;22;23;15;9;0;0;0;100;52,2;47,8;0
457;Provincia;COCHABAMBA;Campero;;Campero;14.664;22.659;15.146;16.138;18.648;4.917;49,8;13;36,8;50,2;41,9;8,1;0,2
458;Provincia;COCHABAMBA;Campero;;Urbana;1.255;7.031;1.104;616;3.663;1.111;84;29,7;54,3;16;15,4;0,5;0
459;Provincia;COCHABAMBA;Campero;;Rural;13.409;15.628;14.042;15.522;14.985;3.806;33,6;5;28,6;66,4;54,4;11,7;0,3
460;Municipio;COCHABAMBA;Campero;Aiquile;Aiquile;9.552;13.773;9.781;10.022;12.094;3.893;49;14,6;34,4;51;40,7;10;0,3
461;Municipio;COCHABAMBA;Campero;Aiquile;Urbana;827;5.205;889;196;2.947;958;83,1;32,2;50,9;16,9;16,3;0,6;0
462;Municipio;COCHABAMBA;Campero;Aiquile;Rural;8.725;8.568;8.892;9.826;9.147;2.935;27,7;3,6;24;72,3;56;15,8;0,5
463;Municipio;COCHABAMBA;Campero;Pasorapa;Pasorapa;3.101;4.206;3.098;3.756;2.619;443;47;10,2;36,8;53;46,9;6;0,1
464;Municipio;COCHABAMBA;Campero;Pasorapa;Urbana;428;1.826;215;420;716;153;87,1;22,2;64,9;12,9;12,7;0,2;0
465;Municipio;COCHABAMBA;Campero;Pasorapa;Rural;2.673;2.380;2.883;3.336;1.903;290;16,2;1;15,2;83,8;73,2;10,5;0,1
466;Municipio;COCHABAMBA;Campero;Omereque;Omereque;2.011;4.680;2.267;2.360;3.935;581;55,3;10,1;45,1;44,7;40,9;3,9;0
467;Municipio;COCHABAMBA;Campero;Omereque;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
468;Municipio;COCHABAMBA;Campero;Omereque;Rural;2.011;4.680;2.267;2.360;3.935;581;55,3;10,1;45,1;44,7;40,9;3,9;0
469;Provincia;COCHABAMBA;Ayopaya;;Ayopaya;42.961;33.634;38.420;39.695;35.989;13.108;18,1;3,2;15;81,9;61,2;19,8;0,9
470;Provincia;COCHABAMBA;Ayopaya;;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
471;Provincia;COCHABAMBA;Ayopaya;;Rural;42.961;33.634;38.420;39.695;35.989;13.108;18,1;3,2;15;81,9;61,2;19,8;0,9
472;Municipio;COCHABAMBA;Ayopaya;Ayopaya;Ayopaya;15.694;12.929;14.572;14.579;13.478;4.916;25,8;5,9;19,9;74,2;55,3;18;0,8
473;Municipio;COCHABAMBA;Ayopaya;Ayopaya;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
474;Municipio;COCHABAMBA;Ayopaya;Ayopaya;Rural;15.694;12.929;14.572;14.579;13.478;4.916;25,8;5,9;19,9;74,2;55,3;18;0,8
475;Municipio;COCHABAMBA;Ayopaya;Morochata;Morochata;11.394;8.966;9.365;11.526;10.367;3.325;15;2;13;85;63,9;20,5;0,7
476;Municipio;COCHABAMBA;Ayopaya;Morochata;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
477;Municipio;COCHABAMBA;Ayopaya;Morochata;Rural;11.394;8.966;9.365;11.526;10.367;3.325;15;2;13;85;63,9;20,5;0,7
478;Municipio;COCHABAMBA;Ayopaya;Cocapata;Cocapata;15.873;11.739;14.483;13.590;12.144;4.867;11,8;1;10,9;88,2;65,9;21,2;1,1
479;Municipio;COCHABAMBA;Ayopaya;Cocapata;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
480;Municipio;COCHABAMBA;Ayopaya;Cocapata;Rural;15.873;11.739;14.483;13.590;12.144;4.867;11,8;1;10,9;88,2;65,9;21,2;1,1
481;Provincia;COCHABAMBA;Esteban Arze;;Esteban Arze;17.930;32.779;31.513;20.321;25.182;8.885;43,2;11,7;31,5;56,8;46,9;9,6;0,3
482;Provincia;COCHABAMBA;Esteban Arze;;Urbana;5.007;16.526;17.961;5.960;10.107;4.888;42,7;11,3;31,4;57,3;48,6;8,3;0,3
483;Provincia;COCHABAMBA;Esteban Arze;;Rural;12.923;16.253;13.552;14.361;15.075;3.997;43,7;12,1;31,6;56,3;45,3;10,7;0,3
484;Municipio;COCHABAMBA;Esteban Arze;Tarata;Tarata;3.803;6.088;3.774;3.859;4.926;1.507;58,5;22,6;35,8;41,5;33,5;7,9;0,2
485;Municipio;COCHABAMBA;Esteban Arze;Tarata;Urbana;462;2.112;494;144;1.029;430;87,5;42,6;44,9;12,5;11,5;1;0
486;Municipio;COCHABAMBA;Esteban Arze;Tarata;Rural;3.341;3.976;3.280;3.715;3.897;1.077;40,8;10,5;30,3;59,2;46,9;12;0,2
487;Municipio;COCHABAMBA;Esteban Arze;Anzaldo;Anzaldo;4.171;3.865;4.996;5.012;4.145;1.294;26,4;8,4;18,1;73,6;56,4;16,6;0,5
488;Municipio;COCHABAMBA;Esteban Arze;Anzaldo;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
489;Municipio;COCHABAMBA;Esteban Arze;Anzaldo;Rural;4.171;3.865;4.996;5.012;4.145;1.294;26,4;8,4;18,1;73,6;56,4;16,6;0,5
490;Municipio;COCHABAMBA;Esteban Arze;Arbieto;Arbieto;6.454;19.722;19.461;7.841;13.370;5.489;44,5;9,8;34,7;55,5;47,2;8;0,3
491;Municipio;COCHABAMBA;Esteban Arze;Arbieto;Urbana;4.545;14.414;17.467;5.816;9.078;4.458;33,8;5;28,7;66,2;56;9,8;0,4
492;Municipio;COCHABAMBA;Esteban Arze;Arbieto;Rural;1.909;5.308;1.994;2.025;4.292;1.031;68,8;20,5;48,3;31,2;27,3;3,8;0,1
493;Municipio;COCHABAMBA;Esteban Arze;Sacabamba;Sacabamba;3.502;3.104;3.282;3.609;2.741;595;26,4;4,1;22,3;73,6;60,3;13;0,2
494;Municipio;COCHABAMBA;Esteban Arze;Sacabamba;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
495;Municipio;COCHABAMBA;Esteban Arze;Sacabamba;Rural;3.502;3.104;3.282;3.609;2.741;595;26,4;4,1;22,3;73,6;60,3;13;0,2
496;Provincia;COCHABAMBA;Arani;;Arani;8.864;8.874;6.912;6.982;9.798;2.763;55,4;18,5;36,9;44,6;39,7;4,7;0,1
497;Provincia;COCHABAMBA;Arani;;Urbana;539;1.932;484;130;1.166;388;86,7;37,1;49,6;13,3;12,9;0,4;0
498;Provincia;COCHABAMBA;Arani;;Rural;8.325;6.942;6.428;6.852;8.632;2.375;46,7;13,4;33,4;53,3;47,2;6;0,1
499;Municipio;COCHABAMBA;Arani;Arani;Arani;3.272;5.318;2.644;1.895;4.836;1.399;69,5;25,2;44,3;30,5;27,8;2,7;0,1
500;Municipio;COCHABAMBA;Arani;Arani;Urbana;539;1.932;484;130;1.166;388;86,7;37,1;49,6;13,3;12,9;0,4;0
501;Municipio;COCHABAMBA;Arani;Arani;Rural;2.733;3.386;2.160;1.765;3.670;1.011;59,1;18,1;41;40,9;36,8;4;0,1
502;Municipio;COCHABAMBA;Arani;Vacas;Vacas;5.592;3.556;4.268;5.087;4.962;1.364;36,1;9,3;26,8;63,9;56,1;7,6;0,1
503;Municipio;COCHABAMBA;Arani;Vacas;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
504;Municipio;COCHABAMBA;Arani;Vacas;Rural;5.592;3.556;4.268;5.087;4.962;1.364;36,1;9,3;26,8;63,9;56,1;7,6;0,1
505;Provincia;COCHABAMBA;Arque;;Arque;14.956;12.603;13.915;17.408;13.839;4.258;16,4;2,2;14,2;83,6;65,1;17,9;0,5
506;Provincia;COCHABAMBA;Arque;;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
507;Provincia;COCHABAMBA;Arque;;Rural;14.956;12.603;13.915;17.408;13.839;4.258;16,4;2,2;14,2;83,6;65,1;17,9;0,5
508;Municipio;COCHABAMBA;Arque;Arque;Arque;7.231;6.505;7.911;8.417;6.652;1.782;15,5;2,6;12,8;84,5;65,4;18,7;0,4
509;Municipio;COCHABAMBA;Arque;Arque;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
510;Municipio;COCHABAMBA;Arque;Arque;Rural;7.231;6.505;7.911;8.417;6.652;1.782;15,5;2,6;12,8;84,5;65,4;18,7;0,4
511;Municipio;COCHABAMBA;Arque;Tacopaya;Tacopaya;7.725;6.098;6.004;8.991;7.187;2.476;17,4;1,8;15,6;82,6;64,9;17,1;0,6
512;Municipio;COCHABAMBA;Arque;Tacopaya;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
513;Municipio;COCHABAMBA;Arque;Tacopaya;Rural;7.725;6.098;6.004;8.991;7.187;2.476;17,4;1,8;15,6;82,6;64,9;17,1;0,6
514;Provincia;COCHABAMBA;Capinota;;Capinota;7.195;18.419;10.227;8.354;14.963;4.671;61,7;20,3;41,4;38,3;31,9;6,2;0,2
515;Provincia;COCHABAMBA;Capinota;;Urbana;786;4.969;1.415;248;2.792;956;82,8;36;46,7;17,2;16,6;0,6;0
516;Provincia;COCHABAMBA;Capinota;;Rural;6.409;13.450;8.812;8.106;12.171;3.715;53,3;14,1;39,2;46,7;38,1;8,4;0,2
517;Municipio;COCHABAMBA;Capinota;Capinota;Capinota;4.522;11.119;6.248;4.513;8.919;3.238;62,1;21,6;40,5;37,9;31,1;6,7;0,1
518;Municipio;COCHABAMBA;Capinota;Capinota;Urbana;786;4.969;1.415;248;2.792;956;82,8;36;46,7;17,2;16,6;0,6;0
519;Municipio;COCHABAMBA;Capinota;Capinota;Rural;3.736;6.150;4.833;4.265;6.127;2.282;44,7;9,5;35,2;55,3;43,4;11,7;0,2
520;Municipio;COCHABAMBA;Capinota;Santiváñez;Santiváñez;1.445;4.586;2.222;2.012;3.624;903;67,6;23,3;44,2;32,4;28,3;3,9;0,3
521;Municipio;COCHABAMBA;Capinota;Santiváñez;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
522;Municipio;COCHABAMBA;Capinota;Santiváñez;Rural;1.445;4.586;2.222;2.012;3.624;903;67,6;23,3;44,2;32,4;28,3;3,9;0,3
523;Municipio;COCHABAMBA;Capinota;Sicaya;Sicaya;1.228;2.714;1.757;1.829;2.420;530;48,5;8,3;40,1;51,5;42,9;8,4;0,2
