codigo_entidad,nombre_entidad_sigep,departamento,key_sigep,municipio_ine_sugerido,poblacion_2024,score_aprox,municipio_ine_final
1207,Gobierno Autónomo Municipal de Guaqui,La Paz,guaqui,Quime,10887,0.5455,
1207,Gobierno Autónomo Municipal de Guaqui,La Paz,guaqui,Sapahaqui,16497,0.5333,
1207,Gobierno Autónomo Municipal de Guaqui,La Paz,guaqui,Tito Yupanqui,7525,0.5263,
1207,Gobierno Autónomo Municipal de Guaqui,La Paz,guaqui,Guanay,16386,0.5,
1207,Gobierno Autónomo Municipal de Guaqui,La Paz,guaqui,Caquiaviri,15570,0.5,
1207,Gobierno Autónomo Municipal de Guaqui,La Paz,guaqui,Tipuani,7716,0.4615,
1207,Gobierno Autónomo Municipal de Guaqui,La Paz,guaqui,Huarina,8679,0.4615,
1207,Gobierno Autónomo Municipal de Guaqui,La Paz,guaqui,Quiabaya,4224,0.4286,
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,sica sica,Sicasica,33885,0.9412,
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,sica sica,Viacha,113554,0.4,
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,sica sica,Ichoca,9552,0.5333,
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,sica sica,Chua Cocani,7226,0.3,
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,sica sica,Cairoma,13598,0.5,
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,sica sica,Tacacoma,9761,0.4706,
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,sica sica,Mecapaca,20446,0.4706,
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,sica sica,Calamarca,15327,0.4444,
1225,Gobierno Autónomo Municipal de Ancoraimes,La Paz,ancoraimes,Villa Ancoraimes,16953,0.7692,
1225,Gobierno Autónomo Municipal de Ancoraimes,La Paz,ancoraimes,Catacora,5351,0.5556,
1225,Gobierno Autónomo Municipal de Ancoraimes,La Paz,ancoraimes,Chua Cocani,7226,0.2857,
1225,Gobierno Autónomo Municipal de Ancoraimes,La Paz,ancoraimes,Coroico,27711,0.4706,
1225,Gobierno Autónomo Municipal de Ancoraimes,La Paz,ancoraimes,Cairoma,13598,0.4706,
1225,Gobierno Autónomo Municipal de Ancoraimes,La Paz,ancoraimes,Tacacoma,9761,0.4444,
1225,Gobierno Autónomo Municipal de Ancoraimes,La Paz,ancoraimes,Pucarani,49850,0.3333,
1225,Gobierno Autónomo Municipal de Ancoraimes,La Paz,ancoraimes,Coripata,23530,0.4444,
1248,Gobierno Autónomo Municipal de Carabuco,La Paz,carabuco,Taraco,7540,0.7143,
1248,Gobierno Autónomo Municipal de Carabuco,La Paz,carabuco,Catacora,5351,0.5,
1248,Gobierno Autónomo Municipal de Carabuco,La Paz,carabuco,Calacoto,12219,0.625,
1248,Gobierno Autónomo Municipal de Carabuco,La Paz,carabuco,Charaña,4221,0.5333,
1248,Gobierno Autónomo Municipal de Carabuco,La Paz,carabuco,Cairoma,13598,0.5333,
1248,Gobierno Autónomo Municipal de Carabuco,La Paz,carabuco,Yaco,12296,0.5,
1248,Gobierno Autónomo Municipal de Carabuco,La Paz,carabuco,Tacacoma,9761,0.5,
1248,Gobierno Autónomo Municipal de Carabuco,La Paz,carabuco,Puerto Mayor de Carabuco,17336,0.5,
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),La Paz,general juan jose perez,Puerto Pérez,7900,0.5143,
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),La Paz,general juan jose perez,Nuestra Señora de La Paz,757431,0.383,
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),La Paz,general juan jose perez,Nazacara de Pacajes,4022,0.381,
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),La Paz,general juan jose perez,Villa Ancoraimes,16953,0.2051,
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),La Paz,general juan jose perez,Desaguadero,7897,0.2353,
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),La Paz,general juan jose perez,Puerto Acosta,14012,0.2778,
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),La Paz,general juan jose perez,El Alto,885825,0.2667,
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),La Paz,general juan jose perez,San Pedro de Tiquina,9164,0.2791,
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,san andres de machaca,La (Marka) San Andrés de Machaca,7936,0.9333,
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,san andres de machaca,Santiago de Machaca,6805,0.75,
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,san andres de machaca,Jesús de Machaka,17016,0.6486,
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,san andres de machaca,San Pedro de Curahuara,9217,0.6512,
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,san andres de machaca,Santiago de Huata,9287,0.5263,
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,san andres de machaca,San Pedro de Tiquina,9164,0.5366,
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,san andres de machaca,Santiago de Callapa,8037,0.5,
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,san andres de machaca,Nazacara de Pacajes,4022,0.5,
1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,jesus de machaca,Jesús de Machaka,17016,0.9375,
1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,jesus de machaca,Santiago de Machaca,6805,0.6857,
1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,jesus de machaca,La (Marka) San Andrés de Machaca,7936,0.65,
1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,jesus de machaca,Santiago de Huata,9287,0.4242,
1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,jesus de machaca,Achacachi,47257,0.48,
