codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,presupuesto_total,provincia_ine,municipio_ine,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
1221,Gobierno Autónomo Municipal de Colquiri,La Paz,municipal,GAM,29951096.0,Inquisivi,Colquiri,18351.0,19620.0,23505.0,12386.0,11119.0,1274.2436077430334
1222,Gobierno Autónomo Municipal de Ichoca,La Paz,municipal,GAM,9486150.0,Inquisivi,Ichoca,6839.0,7913.0,9552.0,5128.0,4424.0,993.1061557788945
1223,Gobierno Autónomo Municipal de Villa Libertad Licoma,La Paz,municipal,GAM,7475587.0,Inquisivi,Villa Libertad Licoma,2739.0,5488.0,7877.0,3957.0,3920.0,949.0398628919639
1224,Gobierno Autónomo Municipal de Achacachi,La Paz,municipal,GAM,45067967.0,Omasuyos,Achacachi,45875.0,46058.0,47257.0,23143.0,24114.0,953.6781217597393
1225,Gobierno Autónomo Municipal de Ancoraimes,La Paz,municipal,GAM,22464885.0,Omasuyos,Villa Ancoraimes,15199.0,13136.0,16953.0,8472.0,8481.0,1325.1274110776853
1226,Gobierno Autónomo Municipal de Sorata,La Paz,municipal,GAM,38465729.0,Larecaja,Sorata,18932.0,23512.0,30083.0,15291.0,14792.0,1278.6533590399893
1227,Gobierno Autónomo Municipal de Guanay,La Paz,municipal,GAM,20610091.0,Larecaja,Guanay,11528.0,14788.0,16386.0,8758.0,7628.0,1257.786586110094
1228,Gobierno Autónomo Municipal de Tacacoma,La Paz,municipal,GAM,10632316.0,Larecaja,Tacacoma,6269.0,8182.0,9761.0,5161.0,4600.0,1089.265034320254
1229,Gobierno Autónomo Municipal de Tipuani,La Paz,municipal,GAM,13374478.0,Larecaja,Tipuani,9321.0,9985.0,7716.0,4240.0,3476.0,1733.34344219803
1230,Gobierno Autónomo Municipal de Quiabaya,La Paz,municipal,GAM,4281427.0,Larecaja,Quiabaya,2580.0,2684.0,4224.0,2181.0,2043.0,1013.5954071969697
1231,Gobierno Autónomo Municipal de Combaya,La Paz,municipal,GAM,3478989.0,Larecaja,Combaya,2691.0,3731.0,3529.0,1852.0,1677.0,985.8285633323887
1232,Gobierno Autónomo Municipal de Copacabana,La Paz,municipal,GAM,19251842.0,Manco Kapac,Copacabana,14586.0,14931.0,17463.0,8481.0,8982.0,1102.4361220866977
1233,Gobierno Autónomo Municipal de San Pedro de Tiquina,La Paz,municipal,GAM,8560323.0,Manco Kapac,San Pedro de Tiquina,6093.0,6052.0,9164.0,4625.0,4539.0,934.1251636839808
1234,Gobierno Autónomo Municipal de Tito Yupanqui,La Paz,municipal,GAM,6950684.0,Manco Kapac,Tito Yupanqui,2213.0,6261.0,7525.0,3986.0,3539.0,923.6789368770765
1235,Gobierno Autónomo Municipal de Chuma,La Paz,municipal,GAM,16437519.0,Muñecas,Chuma,12843.0,11473.0,17830.0,9271.0,8559.0,921.9023555804823
1236,Gobierno Autónomo Municipal de Ayata,La Paz,municipal,GAM,9509993.0,Muñecas,Ayata,8143.0,8410.0,9029.0,4772.0,4257.0,1053.2720124044745
1237,Gobierno Autónomo Municipal de Aucapata,La Paz,municipal,GAM,6443660.0,Muñecas,Aucapata,4146.0,5495.0,6721.0,3653.0,3068.0,958.7353072459456
1238,Gobierno Autónomo Municipal de Corocoro,La Paz,municipal,GAM,15484722.0,Pacajes,Corocoro,11813.0,10647.0,13551.0,6965.0,6586.0,1142.6995793668364
1239,Gobierno Autónomo Municipal de Caquiaviri,La Paz,municipal,GAM,14233739.0,Pacajes,Caquiaviri,11901.0,14687.0,15570.0,7851.0,7719.0,914.1771997430957
1240,Gobierno Autónomo Municipal de Calacoto,La Paz,municipal,GAM,11257213.0,Pacajes,Calacoto,8818.0,9879.0,12219.0,6262.0,5957.0,921.2875849087487
1241,Gobierno Autónomo Municipal de Comanche,La Paz,municipal,GAM,5349775.0,Pacajes,Comanche,3862.0,3880.0,5238.0,2547.0,2691.0,1021.3392516227568
1242,Gobierno Autónomo Municipal de Charaña,La Paz,municipal,GAM,5100585.0,Pacajes,Charaña,2766.0,3246.0,4221.0,2185.0,2036.0,1208.3830845771145
1243,Gobierno Autónomo Municipal de Waldo Ballivián,La Paz,municipal,GAM,6363941.0,Pacajes,Waldo Ballivián,1657.0,5069.0,6442.0,3546.0,2896.0,987.8828003725552
1244,Gobierno Autónomo Municipal de Nazacara de Pacajes,La Paz,municipal,GAM,3711909.0,Pacajes,Nazacara de Pacajes,267.0,619.0,4022.0,2050.0,1972.0,922.9012928891099
1245,Gobierno Autónomo Municipal de Santiago de Callapa,La Paz,municipal,GAM,7949954.0,Pacajes,Santiago de Callapa,8099.0,7289.0,8037.0,4177.0,3860.0,989.1693417942018
1246,Gobierno Autónomo Municipal de Puerto Acosta,La Paz,municipal,GAM,17894764.0,Camacho,Puerto Acosta,13083.0,11290.0,14012.0,7156.0,6856.0,1277.1027690550957
1247,Gobierno Autónomo Municipal de Mocomoco,La Paz,municipal,GAM,18856701.0,Camacho,Mocomoco,17233.0,15665.0,17811.0,9298.0,8513.0,1058.710965133906
1248,Gobierno Autónomo Municipal de Carabuco,La Paz,municipal,GAM,18411309.0,Camacho,Puerto Mayor de Carabuco,14721.0,14589.0,17336.0,9000.0,8336.0,1062.0275149976926
1249,Gobierno Autónomo Municipal de Apolo,La Paz,municipal,GAM,18833316.0,Franz Tamayo,Apolo,13271.0,20308.0,19156.0,10226.0,8930.0,983.1549384005011
1250,Gobierno Autónomo Municipal de Pelechuco,La Paz,municipal,GAM,11659479.0,Franz Tamayo,Pelechuco,5115.0,6780.0,9060.0,5280.0,3780.0,1286.9182119205298
1251,Gobierno Autónomo Municipal de Luribay,La Paz,municipal,GAM,10677161.0,Loayza,Luribay,9004.0,11139.0,10703.0,5464.0,5239.0,997.5858170606372
1252,Gobierno Autónomo Municipal de Sapahaqui,La Paz,municipal,GAM,20042207.0,Loayza,Sapahaqui,11790.0,12484.0,16497.0,8322.0,8175.0,1214.9001030490392
1253,Gobierno Autónomo Municipal de Yaco,La Paz,municipal,GAM,15412548.0,Loayza,Yaco,7866.0,7315.0,12296.0,6560.0,5736.0,1253.4603122966819
1254,Gobierno Autónomo Municipal de Malla,La Paz,municipal,GAM,7739622.0,Loayza,Malla,3733.0,5180.0,5297.0,2884.0,2413.0,1461.1330942042666
1255,Gobierno Autónomo Municipal de Cairoma,La Paz,municipal,GAM,15730198.0,Loayza,Cairoma,11338.0,11355.0,13598.0,7105.0,6493.0,1156.8023238711576
1256,Gobierno Autónomo Municipal de Chulumani (Villa de la Libertad),La Paz,municipal,GAM,29064222.0,Sur Yungas,Chulumani,13204.0,17823.0,18303.0,9123.0,9180.0,1587.9485330273726
1257,Gobierno Autónomo Municipal de Irupana (Villa de Lanza),La Paz,municipal,GAM,26478359.0,Sur Yungas,Irupana,11383.0,17276.0,23279.0,12803.0,10476.0,1137.4354138923493
1258,Gobierno Autónomo Municipal de Yanacachi,La Paz,municipal,GAM,8132544.0,Sur Yungas,Yanacachi,4250.0,6420.0,7615.0,3934.0,3681.0,1067.9637557452397
