DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIB_USD2017,POB_ESTIMADA,POP_WORLDPOP_PONDERADOR,CELDAS_INTERSECTADAS,PIBPC_USD2017
Potosí,José María Linares,Ckochas,Ckochas,2006-08-15,3462,2006-08-15,-65.0221106723,-19.7420817829,Ckochas,38455888.050519936,16334.592242448207,13206.385971037409,10,2354.2606683860645
Oruro,Sur Carangas,Santiago de Andamarca,Santiago de Andamarca,1980-03-31,1236,1991-02-13,-67.3810571756,-18.8925523702,Santiago de Andamarca,12133824.802918272,4819.6202512988975,4000.427763801177,9,2517.589388842032
Oruro,Mejillones,La Rivera,La Rivera,1989-02-21,413,1968-10-18,-68.6602032728,-19.0621533263,La Rivera,2472272.8965726835,831.7751635007869,392.58024868661596,3,2972.2850657951203
Oruro,Mejillones,Carangas,Carangas,1989-02-21,1464,1993-02-18,-68.665416637,-18.9015713333,Carangas,2982881.350497788,1235.4140027807825,670.1741238938412,2,2414.4791493245552
Pando,Nicolás Suárez,Bolpebra,Bolpebra,1951-09-08,CSL,1938-09-24,-69.2256664515,-11.169684333,Bolpebra (Mukden),10836007.307000829,4184.264304249404,1355.7227377435465,8,2589.7043109815336
Pando,Manuripi,Filadelfia,Filadelfia,1938-09-24,CSL,1938-09-24,-68.5320075511,-11.7561061655,Filadelfia,11558478.58083832,6038.864456806659,3629.7804264907463,28,1914.0152363927082
Oruro,Cercado,Oruro,Oruro,1868-10-07,1669,1995-10-31,-67.0914949032,-17.959984464,Oruro,1055718732.607112,328543.900498723,201194.47093672253,2,3213.326228259153
Oruro,Nor Carangas,Huayllamarca,Santiago de Huayllamarca,1990-09-26,1188,1990-09-26,-67.8201577086,-17.927490051,Santiago de Hayllamarca,11918730.293245068,5821.412948493593,4153.802642018594,7,2047.3947474090937
La Paz,Gualberto Villarroel,San Pedro de Curahuara,San Pedro de Curahuara,1962-12-31,235,1962-12-31,-67.966586437,-17.6335198375,San Pedro de Curahuara,18746080.285507757,10473.880104943017,7199.670420882161,5,1789.7932855523884
Cochabamba,Capinota,Sicaya,Sicaya,1908-10-01,631,1984-08-31,-66.3415889589,-17.7912178084,Sicaya,9445164.025201166,2820.4956259369783,3751.4767605149536,2,3348.7603874809947
