codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,ingresos_total,recursos_propios,recursos_especificos,recursos_especificos_gam_gaioc,otros_recursos_especificos,transferencias_tgn,coparticipacion,idh,regalias,otros_recursos,autonomia_fiscal_pct,autonomia_fiscal_aplica,autonomia_fiscal_base,dependencia_tgn_pct,coparticipacion_pct,idh_pct,regalias_pct,recursos_especificos_pct,recursos_especificos_gam_gaioc_pct,otros_recursos_especificos_pct
"1125","Gobierno Autónomo Municipal de Las Carreras","Chuquisaca","municipal","GAM",14015349.0,299809.0,545116.0,299809.0,39194.0,13470233.0,4162717.0,1188474.0,206113.0,8119042.0,2.139148,True,"20/210 Recursos Específicos GAM/GAIOC",96.110578,29.70113,8.479803,1.470623,3.889422,2.139148,0.279651
"1128","Gobierno Autónomo Municipal de Machareti","Chuquisaca","municipal","GAM",9269406.0,642000.0,778177.0,642000.0,136177.0,8491229.0,6023344.0,1719692.0,0.0,748193.0,6.92601,True,"20/210 Recursos Específicos GAM/GAIOC",91.604888,64.980906,18.552343,0.0,8.395112,6.92601,1.469102
"1115","Gobierno Autónomo Municipal de Monteagudo","Chuquisaca","municipal","GAM",36974829.0,5286057.0,6884315.0,5286057.0,1598258.0,30090514.0,20915586.0,5812296.0,0.0,3362632.0,14.296366,True,"20/210 Recursos Específicos GAM/GAIOC",81.381077,56.567093,15.719602,0.0,18.618923,14.296366,4.322557
"1110","Gobierno Autónomo Municipal de Padilla","Chuquisaca","municipal","GAM",14200568.0,2281860.0,2282339.0,2281860.0,479.0,8112502.0,6270264.0,1790188.0,0.0,52050.0,16.068794,True,"20/210 Recursos Específicos GAM/GAIOC",57.128011,44.155023,12.606453,0.0,16.072167,16.068794,0.003373
"1103","Gobierno Autónomo Municipal de Poroma","Chuquisaca","municipal","GAM",15293419.0,152500.0,157125.0,152500.0,239.0,14723408.0,11340016.0,3237625.0,4386.0,145767.0,0.997161,True,"20/210 Recursos Específicos GAM/GAIOC",96.272835,74.149646,21.170054,0.028679,1.027403,0.997161,0.001563
"1107","Gobierno Autónomo Municipal de Presto","Chuquisaca","municipal","GAM",14381363.0,239810.0,239810.0,239810.0,0.0,13665335.0,9995676.0,2853809.0,0.0,815850.0,1.667505,True,"20/210 Recursos Específicos GAM/GAIOC",95.02114,69.504372,19.843801,0.0,1.667505,1.667505,0.0
"1120","Gobierno Autónomo Municipal de San Lucas","Chuquisaca","municipal","GAM",48664005.0,1349296.0,4406577.0,1349296.0,500000.0,43335601.0,22019917.0,6286783.0,2557281.0,15028901.0,2.772678,True,"20/210 Recursos Específicos GAM/GAIOC",89.050626,45.24888,12.918754,5.254974,9.055106,2.772678,1.027453
"1116","Gobierno Autónomo Municipal de San Pablo de Huacareta","Chuquisaca","municipal","GAM",11701686.0,400000.0,458983.0,400000.0,58983.0,11242703.0,5986764.0,1709248.0,0.0,3546691.0,3.418311,True,"20/210 Recursos Específicos GAM/GAIOC",96.077634,51.161551,14.606852,0.0,3.922366,3.418311,0.504056
"1112","Gobierno Autónomo Municipal de Sopachuy","Chuquisaca","municipal","GAM",9564373.0,670000.0,670586.0,670000.0,586.0,8893787.0,6024879.0,1684478.0,0.0,1184430.0,7.005164,True,"20/210 Recursos Específicos GAM/GAIOC",92.988709,62.992932,17.612007,0.0,7.011291,7.005164,0.006127
"1101","Gobierno Autónomo Municipal de Sucre","Chuquisaca","municipal","GAM",536787240.0,177707070.0,205732539.0,177707070.0,27772032.0,331054701.0,246192248.0,70288976.0,253437.0,14573477.0,33.105681,True,"20/210 Recursos Específicos GAM/GAIOC",61.673355,45.864028,13.094383,0.047214,38.326645,33.105681,5.17375
