status,departamento,municipio,match_key,pib_col,pib_value,old_pop_col,old_pop_value,pob_2012,pob_2024,pob_retro_2021,pibpc_retro_2021
ok,La Paz,Catacora,la paz|catacora,PIB_USD2017,5920435.030996007,POB_ESTIMADA,2868.443577466866,2881,5351,4583.656117139762,1291.6403150004207
ok,La Paz,Yaco,la paz|yaco,PIB_USD2017,24958103.541583005,POB_ESTIMADA,12192.011846575017,7315,12296,10798.82425898586,2311.1871202844145
ok,La Paz,Calacoto,la paz|calacoto,PIB_USD2017,28158329.297235724,POB_ESTIMADA,16437.866818776707,9879,12219,11586.572806788918,2430.2552417171123
ok,Oruro,Antequera,oruro|antequera,PIB_USD2017,7624825.799514208,POB_ESTIMADA,3535.2905118486865,3264,3666,3561.0812524169446,2141.1546828197634
ok,Potosí,Llallagua,potosi|llallagua,PIB_USD2017,107111303.47180332,POB_ESTIMADA,36155.133713740666,41104,41686,41539.7319602149,2578.526591707194
ok,Potosí,Caripuyo,potosi|caripuyo,PIB_USD2017,16735947.764781356,POB_ESTIMADA,8802.241741541493,8704,8458,8518.840387427663,1964.5805066944
ok,La Paz,Collana,la paz|collana,PIB_USD2017,7830638.239804529,POB_ESTIMADA,3576.806248863932,5042,5526,5400.80964757554,1449.9008020621047
ok,Oruro,Belen de Andamarca,oruro|belen de andamarca,PIB_USD2017,4305962.534234489,POB_ESTIMADA,2260.2649275130807,2016,3061,2757.5292582759107,1561.52922813472
ok,Cochabamba,San Benito,cochabamba|san benito,PIB_USD2017,43362606.02782876,POB_ESTIMADA,17535.13562705015,13562,13054,13179.187638184192,3290.2336030328493
ok,Oruro,Corque,oruro|corque,PIB_USD2017,18487719.625486717,POB_ESTIMADA,8911.363150571255,9221,16101,14006.645692225793,1319.9248436581847
ok,Cochabamba,Aiquile,cochabamba|aiquile,PIB_USD2017,35701751.370810725,POB_ESTIMADA,16980.624580088584,23267,23123,23158.916231975265,1541.598536528998
ok,Potosí,Sacaca,potosi|sacaca,PIB_USD2017,35062967.17771284,POB_ESTIMADA,17324.616159088866,19611,17205,17777.30578162849,1972.3442690594761
ok,Potosí,Acasio,potosi|acasio,PIB_USD2017,14562534.538459972,POB_ESTIMADA,7335.591033419989,6161,4471,4844.135744132721,3006.219335636558
ok,Oruro,Huanuni,oruro|huanuni,PIB_USD2017,62426116.62949532,POB_ESTIMADA,25591.51275465262,24677,20118,21171.990630790904,2948.523722597327
ok,La Paz,Corocoro,la paz|coro coro,PIB_USD2017,21327174.772888497,POB_ESTIMADA,8910.76885533113,10647,13551,12758.080040993253,1671.6602109691823
ok,La Paz,Santiago de Machaca,la paz|santiago de machaca,PIB_USD2017,11383841.254006688,POB_ESTIMADA,5718.936393103377,4593,6805,6168.011979207992,1845.6256719962528
ok,Oruro,Machacamarca,oruro|machacamarca,PIB_USD2017,10650385.842683569,POB_ESTIMADA,5208.69019722027,4820,6120,5765.34533780794,1847.3109967655441
ok,Potosí,Arampampa,potosi|arampampa,PIB_USD2017,16038147.347865572,POB_ESTIMADA,4827.068793707519,4170,3666,3785.980381864616,4236.193992100587
ok,Cochabamba,Sacabamba,cochabamba|sacabamba,PIB_USD2017,10749390.444447065,POB_ESTIMADA,6989.558020935656,4366,4987,4823.924022743248,2228.3498649164353
ok,Cochabamba,Anzaldo,cochabamba|anzaldo,PIB_USD2017,17462024.98864104,POB_ESTIMADA,11016.422877747866,7192,7335,7298.985624772654,2392.390653486859
ok,Cochabamba,Toco,cochabamba|toco,PIB_USD2017,17030791.76781755,POB_ESTIMADA,6838.797151367369,7057,7382,7299.373054058679,2333.1855546618344
ok,Cochabamba,Villa Gualberto Villarroel,cochabamba|cuchumuela,PIB_USD2017,8606517.760359889,POB_ESTIMADA,3627.19155699564,2768,3822,3525.815100797195,2441.000879034733
