departamento,municipio,codigo_entidad,poblacion_retro_2021,pib_estimado_usd2017_2021,pibpc_usd2017_2021,nbi_pobre_pct,nbi_pobre_moderada_pct,nbi_pobre_indigente_pct,nbi_pobre_marginal_pct,nivel_pibpc,nivel_nbi,categoria_brecha,score_brecha_bienestar_producto,metodo
Beni,Huacaraje,1819,4494.409217,11883972.976400858,2644.167988195151,46.2,44.6,1.6,0.0,medio,medio,Situación intermedia,40.1207,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Ckochas,1539,14693.089819,39625487.31584025,2696.879131864044,86.6,67.7,18.6,0.3,medio,alto,Producto medio con rezago social,63.0184,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Santiago de Andamarca,,6017.388211,10999412.120694287,1827.9379252036065,,,,,bajo,sin_dato,Sin dato,,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,La Rivera,1428,1005.712763,2241135.7429262786,2228.405390100194,63.3,53.4,9.9,0.0,bajo,alto,Rezago estructural,44.1802,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Carangas,1430,1048.552736,2704006.511892877,2578.798774756832,62.9,53.8,9.1,0.0,medio,alto,Producto medio con rezago social,48.4653,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Pando,Bolpebra,1903,2368.135665,11093738.67667014,4684.587475753156,49.1,48.1,1.0,0.0,alto,medio,Producto alto con mejor bienestar relativo,67.9497,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Pando,Filadelfia,1907,7399.029053,11833393.725460658,1599.3171050144952,45.7,42.9,2.7,0.0,bajo,medio,"Bajo producto, menor pobreza relativa",26.4119,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Oruro,1401,289622.730754,957017726.239944,3304.359860666915,12.3,11.6,0.7,0.0,medio,bajo,Bienestar relativo con producto medio,29.9639,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Huayllamarca,,5868.489943,10804427.176109854,1841.0915382527687,,,,,bajo,sin_dato,Sin dato,,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
La Paz,San Pedro de Curahuara,1271,9125.908491,18411825.7805611,2017.533465231252,77.9,68.6,9.2,0.1,bajo,alto,Rezago estructural,49.499,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Sicaya,1329,3918.593417,8125337.145729522,2073.5341180245027,51.5,42.9,8.4,0.2,bajo,medio,"Bajo producto, menor pobreza relativa",35.699,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Santa Cruz,Puerto Quijarro,1744,17635.825178,70304806.78317973,3986.476735467228,16.8,16.3,0.4,0.0,alto,bajo,Producto alto con mejor bienestar relativo,41.209,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
