file,filename,codigo_entidad,nombre_entidad,filas,tiene_total_general,status,error
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1322_Gobierno_Autónomo_Municipal_de_Arbieto_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1322_Gobierno_Autónomo_Municipal_de_Arbieto_categoria_programatica_grupo_gasto_total_gastos.pdf,1322,Gobierno Autónomo Municipal de Arbieto,120,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1323_Gobierno_Autónomo_Municipal_de_Sacabamba_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1323_Gobierno_Autónomo_Municipal_de_Sacabamba_categoria_programatica_grupo_gasto_total_gastos.pdf,1323,Gobierno Autónomo Municipal de Sacabamba,87,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1324_Gobierno_Autónomo_Municipal_de_Cliza_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1324_Gobierno_Autónomo_Municipal_de_Cliza_categoria_programatica_grupo_gasto_total_gastos.pdf,1324,Gobierno Autónomo Municipal de Cliza,161,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1325_Gobierno_Autónomo_Municipal_de_Toco_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1325_Gobierno_Autónomo_Municipal_de_Toco_categoria_programatica_grupo_gasto_total_gastos.pdf,1325,Gobierno Autónomo Municipal de Toco,23,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1326_Gobierno_Autónomo_Municipal_de_Tolata_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1326_Gobierno_Autónomo_Municipal_de_Tolata_categoria_programatica_grupo_gasto_total_gastos.pdf,1326,Gobierno Autónomo Municipal de Tolata,121,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1327_Gobierno_Autónomo_Municipal_de_Capinota_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1327_Gobierno_Autónomo_Municipal_de_Capinota_categoria_programatica_grupo_gasto_total_gastos.pdf,1327,Gobierno Autónomo Municipal de Capinota,21,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1328_Gobierno_Autónomo_Municipal_de_Santivañez_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1328_Gobierno_Autónomo_Municipal_de_Santivañez_categoria_programatica_grupo_gasto_total_gastos.pdf,1328,Gobierno Autónomo Municipal de Santivañez,96,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1329_Gobierno_Autónomo_Municipal_de_Sicaya_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1329_Gobierno_Autónomo_Municipal_de_Sicaya_categoria_programatica_grupo_gasto_total_gastos.pdf,1329,Gobierno Autónomo Municipal de Sicaya,101,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1330_Gobierno_Autónomo_Municipal_de_Tapacari_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1330_Gobierno_Autónomo_Municipal_de_Tapacari_categoria_programatica_grupo_gasto_total_gastos.pdf,1330,Gobierno Autónomo Municipal de Tapacari,19,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1331_Gobierno_Autónomo_Municipal_de_Totora_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1331_Gobierno_Autónomo_Municipal_de_Totora_categoria_programatica_grupo_gasto_total_gastos.pdf,1331,Gobierno Autónomo Municipal de Totora,111,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1332_Gobierno_Autónomo_Municipal_de_Pojo_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1332_Gobierno_Autónomo_Municipal_de_Pojo_categoria_programatica_grupo_gasto_total_gastos.pdf,1332,Gobierno Autónomo Municipal de Pojo,103,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1333_Gobierno_Autónomo_Municipal_de_Pocona_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1333_Gobierno_Autónomo_Municipal_de_Pocona_categoria_programatica_grupo_gasto_total_gastos.pdf,1333,Gobierno Autónomo Municipal de Pocona,112,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1334_Gobierno_Autónomo_Municipal_de_Chimoré_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1334_Gobierno_Autónomo_Municipal_de_Chimoré_categoria_programatica_grupo_gasto_total_gastos.pdf,1334,Gobierno Autónomo Municipal de Chimoré,89,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1335_Gobierno_Autónomo_Municipal_de_Puerto_Villarroel_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1335_Gobierno_Autónomo_Municipal_de_Puerto_Villarroel_categoria_programatica_grupo_gasto_total_gastos.pdf,1335,Gobierno Autónomo Municipal de Puerto Villarroel,153,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1336_Gobierno_Autónomo_Municipal_de_Arani_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1336_Gobierno_Autónomo_Municipal_de_Arani_categoria_programatica_grupo_gasto_total_gastos.pdf,1336,Gobierno Autónomo Municipal de Arani,138,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1337_Gobierno_Autónomo_Municipal_de_Vacas_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1337_Gobierno_Autónomo_Municipal_de_Vacas_categoria_programatica_grupo_gasto_total_gastos.pdf,1337,Gobierno Autónomo Municipal de Vacas,111,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1338_Gobierno_Autónomo_Municipal_de_Arque_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1338_Gobierno_Autónomo_Municipal_de_Arque_categoria_programatica_grupo_gasto_total_gastos.pdf,1338,Gobierno Autónomo Municipal de Arque,89,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1339_Gobierno_Autónomo_Municipal_de_Tacopaya_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1339_Gobierno_Autónomo_Municipal_de_Tacopaya_categoria_programatica_grupo_gasto_total_gastos.pdf,1339,Gobierno Autónomo Municipal de Tacopaya,85,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1340_Gobierno_Autónomo_Municipal_de_Bolivar_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1340_Gobierno_Autónomo_Municipal_de_Bolivar_categoria_programatica_grupo_gasto_total_gastos.pdf,1340,Gobierno Autónomo Municipal de Bolivar,83,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1341_Gobierno_Autónomo_Municipal_de_Tiraque_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1341_Gobierno_Autónomo_Municipal_de_Tiraque_categoria_programatica_grupo_gasto_total_gastos.pdf,1341,Gobierno Autónomo Municipal de Tiraque,102,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1342_Gobierno_Autónomo_Municipal_de_Mizque_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1342_Gobierno_Autónomo_Municipal_de_Mizque_categoria_programatica_grupo_gasto_total_gastos.pdf,1342,Gobierno Autónomo Municipal de Mizque,117,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1343_Gobierno_Autónomo_Municipal_de_Vila_Vila_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1343_Gobierno_Autónomo_Municipal_de_Vila_Vila_categoria_programatica_grupo_gasto_total_gastos.pdf,1343,Gobierno Autónomo Municipal de Vila Vila,92,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1344_Gobierno_Autónomo_Municipal_de_Alalay_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1344_Gobierno_Autónomo_Municipal_de_Alalay_categoria_programatica_grupo_gasto_total_gastos.pdf,1344,Gobierno Autónomo Municipal de Alalay,69,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1345_Gobierno_Autónomo_Municipal_de_Entre_Rios_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1345_Gobierno_Autónomo_Municipal_de_Entre_Rios_categoria_programatica_grupo_gasto_total_gastos.pdf,1345,Gobierno Autónomo Municipal de Entre Rios,117,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1346_Gobierno_Autónomo_Municipal_de_Cocapata_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1346_Gobierno_Autónomo_Municipal_de_Cocapata_categoria_programatica_grupo_gasto_total_gastos.pdf,1346,Gobierno Autónomo Municipal de Cocapata,89,True,ok,
