gestion,codigo_entidad,nombre_entidad,total_general_ingresos,file
2026,1217,Gobierno Autónomo Municipal de Collana,8833532,data\raw\sigep_2026\recursos_por_rubro\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_recursos_por_rubro.pdf
2026,1218,Gobierno Autónomo Municipal de Inquisivi,23286166,data\raw\sigep_2026\recursos_por_rubro\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_recursos_por_rubro.pdf
2026,1219,Gobierno Autónomo Municipal de Quime,12239928,data\raw\sigep_2026\recursos_por_rubro\2026_1219_Gobierno_Autónomo_Municipal_de_Quime_recursos_por_rubro.pdf
2026,1220,Gobierno Autónomo Municipal de Cajuata,16790899,data\raw\sigep_2026\recursos_por_rubro\2026_1220_Gobierno_Autónomo_Municipal_de_Cajuata_recursos_por_rubro.pdf
2026,1221,Gobierno Autónomo Municipal de Colquiri,29951096,data\raw\sigep_2026\recursos_por_rubro\2026_1221_Gobierno_Autónomo_Municipal_de_Colquiri_recursos_por_rubro.pdf
2026,1222,Gobierno Autónomo Municipal de Ichoca,9486150,data\raw\sigep_2026\recursos_por_rubro\2026_1222_Gobierno_Autónomo_Municipal_de_Ichoca_recursos_por_rubro.pdf
2026,1223,Gobierno Autónomo Municipal de Villa Libertad Licoma,7475587,data\raw\sigep_2026\recursos_por_rubro\2026_1223_Gobierno_Autónomo_Municipal_de_Villa_Libertad_Licoma_recursos_por_rubro.pdf
2026,1224,Gobierno Autónomo Municipal de Achacachi,45067967,data\raw\sigep_2026\recursos_por_rubro\2026_1224_Gobierno_Autónomo_Municipal_de_Achacachi_recursos_por_rubro.pdf
2026,1225,Gobierno Autónomo Municipal de Ancoraimes,22464885,data\raw\sigep_2026\recursos_por_rubro\2026_1225_Gobierno_Autónomo_Municipal_de_Ancoraimes_recursos_por_rubro.pdf
2026,1226,Gobierno Autónomo Municipal de Sorata,38465729,data\raw\sigep_2026\recursos_por_rubro\2026_1226_Gobierno_Autónomo_Municipal_de_Sorata_recursos_por_rubro.pdf
2026,1227,Gobierno Autónomo Municipal de Guanay,20610091,data\raw\sigep_2026\recursos_por_rubro\2026_1227_Gobierno_Autónomo_Municipal_de_Guanay_recursos_por_rubro.pdf
2026,1228,Gobierno Autónomo Municipal de Tacacoma,10632316,data\raw\sigep_2026\recursos_por_rubro\2026_1228_Gobierno_Autónomo_Municipal_de_Tacacoma_recursos_por_rubro.pdf
2026,1229,Gobierno Autónomo Municipal de Tipuani,13374478,data\raw\sigep_2026\recursos_por_rubro\2026_1229_Gobierno_Autónomo_Municipal_de_Tipuani_recursos_por_rubro.pdf
2026,1230,Gobierno Autónomo Municipal de Quiabaya,4281427,data\raw\sigep_2026\recursos_por_rubro\2026_1230_Gobierno_Autónomo_Municipal_de_Quiabaya_recursos_por_rubro.pdf
2026,1231,Gobierno Autónomo Municipal de Combaya,3478989,data\raw\sigep_2026\recursos_por_rubro\2026_1231_Gobierno_Autónomo_Municipal_de_Combaya_recursos_por_rubro.pdf
2026,1232,Gobierno Autónomo Municipal de Copacabana,19251842,data\raw\sigep_2026\recursos_por_rubro\2026_1232_Gobierno_Autónomo_Municipal_de_Copacabana_recursos_por_rubro.pdf
2026,1233,Gobierno Autónomo Municipal de San Pedro de Tiquina,8560323,data\raw\sigep_2026\recursos_por_rubro\2026_1233_Gobierno_Autónomo_Municipal_de_San_Pedro_de_Tiquina_recursos_por_rubro.pdf
2026,1234,Gobierno Autónomo Municipal de Tito Yupanqui,6950684,data\raw\sigep_2026\recursos_por_rubro\2026_1234_Gobierno_Autónomo_Municipal_de_Tito_Yupanqui_recursos_por_rubro.pdf
2026,1235,Gobierno Autónomo Municipal de Chuma,16437519,data\raw\sigep_2026\recursos_por_rubro\2026_1235_Gobierno_Autónomo_Municipal_de_Chuma_recursos_por_rubro.pdf
2026,1236,Gobierno Autónomo Municipal de Ayata,9509993,data\raw\sigep_2026\recursos_por_rubro\2026_1236_Gobierno_Autónomo_Municipal_de_Ayata_recursos_por_rubro.pdf
2026,1237,Gobierno Autónomo Municipal de Aucapata,6443660,data\raw\sigep_2026\recursos_por_rubro\2026_1237_Gobierno_Autónomo_Municipal_de_Aucapata_recursos_por_rubro.pdf
2026,1238,Gobierno Autónomo Municipal de Corocoro,15484722,data\raw\sigep_2026\recursos_por_rubro\2026_1238_Gobierno_Autónomo_Municipal_de_Corocoro_recursos_por_rubro.pdf
2026,1239,Gobierno Autónomo Municipal de Caquiaviri,14233739,data\raw\sigep_2026\recursos_por_rubro\2026_1239_Gobierno_Autónomo_Municipal_de_Caquiaviri_recursos_por_rubro.pdf
2026,1240,Gobierno Autónomo Municipal de Calacoto,11257213,data\raw\sigep_2026\recursos_por_rubro\2026_1240_Gobierno_Autónomo_Municipal_de_Calacoto_recursos_por_rubro.pdf
2026,1241,Gobierno Autónomo Municipal de Comanche,5349775,data\raw\sigep_2026\recursos_por_rubro\2026_1241_Gobierno_Autónomo_Municipal_de_Comanche_recursos_por_rubro.pdf
2026,1242,Gobierno Autónomo Municipal de Charaña,5100585,data\raw\sigep_2026\recursos_por_rubro\2026_1242_Gobierno_Autónomo_Municipal_de_Charaña_recursos_por_rubro.pdf
2026,1243,Gobierno Autónomo Municipal de Waldo Ballivián,6363941,data\raw\sigep_2026\recursos_por_rubro\2026_1243_Gobierno_Autónomo_Municipal_de_Waldo_Ballivián_recursos_por_rubro.pdf
2026,1244,Gobierno Autónomo Municipal de Nazacara de Pacajes,3711909,data\raw\sigep_2026\recursos_por_rubro\2026_1244_Gobierno_Autónomo_Municipal_de_Nazacara_de_Pacajes_recursos_por_rubro.pdf
2026,1245,Gobierno Autónomo Municipal de Santiago de Callapa,7949954,data\raw\sigep_2026\recursos_por_rubro\2026_1245_Gobierno_Autónomo_Municipal_de_Santiago_de_Callapa_recursos_por_rubro.pdf
2026,1246,Gobierno Autónomo Municipal de Puerto Acosta,17894764,data\raw\sigep_2026\recursos_por_rubro\2026_1246_Gobierno_Autónomo_Municipal_de_Puerto_Acosta_recursos_por_rubro.pdf
2026,1247,Gobierno Autónomo Municipal de Mocomoco,18856701,data\raw\sigep_2026\recursos_por_rubro\2026_1247_Gobierno_Autónomo_Municipal_de_Mocomoco_recursos_por_rubro.pdf
2026,1248,Gobierno Autónomo Municipal de Carabuco,18411309,data\raw\sigep_2026\recursos_por_rubro\2026_1248_Gobierno_Autónomo_Municipal_de_Carabuco_recursos_por_rubro.pdf
2026,1249,Gobierno Autónomo Municipal de Apolo,18833316,data\raw\sigep_2026\recursos_por_rubro\2026_1249_Gobierno_Autónomo_Municipal_de_Apolo_recursos_por_rubro.pdf
2026,1250,Gobierno Autónomo Municipal de Pelechuco,11659479,data\raw\sigep_2026\recursos_por_rubro\2026_1250_Gobierno_Autónomo_Municipal_de_Pelechuco_recursos_por_rubro.pdf
2026,1251,Gobierno Autónomo Municipal de Luribay,10677161,data\raw\sigep_2026\recursos_por_rubro\2026_1251_Gobierno_Autónomo_Municipal_de_Luribay_recursos_por_rubro.pdf
