codigo_entidad,nombre_entidad,total_detalle,total_general_ingresos,total_diff
1519,Gobierno Autónomo Municipal de Tupiza,64026962,64026962,0
1520,Gobierno Autónomo Municipal de Atocha,21445708,21445708,0
1521,"Gobierno Autónomo Municipal de Colcha""K"" (Villa Martín)",84434720,84434720,0
1522,Gobierno Autónomo Municipal de San Pedro de Quemes,5985878,5985878,0
1523,Gobierno Autónomo Municipal de San Pablo de Lípez,3842453,3842453,0
1524,Gobierno Autónomo Municipal de Mojinete,1237707,1237707,0
1525,Gobierno Autónomo Municipal de San Antonio de Esmoruco,2254656,2254656,0
1526,Gobierno Autónomo Municipal de Sacaca (Villa de Sacaca),18065632,18065632,0
1527,Gobierno Autónomo Municipal de Caripuyo,8798383,8798383,0
1528,Gobierno Autónomo Municipal de Puna (Villa Talavera),17396501,17396501,0
1529,"Gobierno Autónomo Municipal de Caiza ""D""",14303070,14303070,0
1530,Gobierno Autónomo Municipal de Uyuni,61108753,61108753,0
1531,Gobierno Autónomo Municipal de Tomave,8885091,8885091,0
1532,Gobierno Autónomo Municipal de Porco,29845352,29845352,0
1533,Gobierno Autónomo Municipal de Arampampa,3773629,3773629,0
1534,Gobierno Autónomo Municipal de Acasio,4636348,4636348,0
1535,Gobierno Autónomo Municipal de Llica,5316867,5316867,0
1536,Gobierno Autónomo Municipal de Tahua,1620696,1620696,0
1537,Gobierno Autónomo Municipal de Villazón,72813971,72813971,0
1538,Gobierno Autónomo Municipal de San Agustín,2290357,2290357,0
1539,Gobierno Autónomo Municipal de Ckochas,14798435,14798435,0
1540,Gobierno Autónomo Municipal de Chuquihuta Ayllu Jucumani,8518166,8518166,0
1541,Gobierno Autónomo Municipal de San Pedro de Macha,23743424,23743424,0
1601,Gobierno Autónomo Municipal de Tarija,567296182,567296182,0
1602,Gobierno Autónomo Municipal de Padcaya,38045325,38045325,0
1603,Gobierno Autónomo Municipal de Bermejo,92477448,92477448,0
1604,Gobierno Autónomo Municipal de Yacuiba,194028218,194028218,0
1605,Gobierno Autónomo Municipal de Caraparí,51198627,51198627,0
1606,Gobierno Autónomo Municipal de Villamontes,93009878,93009878,0
1607,Gobierno Autónomo Municipal de Uriondo (Concepción),33139396,33139396,0
1608,Gobierno Autónomo Municipal de Yunchara,9529971,9529971,0
1609,Gobierno Autónomo Municipal de San Lorenzo,44450081,44450081,0
1610,Gobierno Autónomo Municipal de El Puente,22257153,22257153,0
1611,Gobierno Autónomo Municipal de Entre Ríos,33960713,33960713,0
1701,Gobierno Autónomo Municipal de Santa Cruz de La Sierra,4791974704,4791974704,0
1702,Gobierno Autónomo Municipal de Cotoca,175825894,175825894,0
1703,Gobierno Autónomo Municipal de Porongo (Ayacucho),159088092,159088092,0
1704,Gobierno Autónomo Municipal de La Guardia,257239659,257239659,0
1705,Gobierno Autónomo Municipal de El Torno,91566756,91566756,0
1706,Gobierno Autónomo Municipal de Warnes,359415375,359415375,0
1707,Gobierno Autónomo Municipal de San Ignacio (San Ignacio de Velasco),77924456,77924456,0
1708,Gobierno Autónomo Municipal de San Miguel (San Miguel de Velasco),21771696,21771696,0
1709,Gobierno Autónomo Municipal de San Rafael,14731530,14731530,0
1710,Gobierno Autónomo Municipal de Buena Vista,26553990,26553990,0
1711,Gobierno Autónomo Municipal de San Carlos,25580506,25580506,0
1712,Gobierno Autónomo Municipal de Yapacaní,82374547,82374547,0
1713,Gobierno Autónomo Municipal de San José,51078195,51078195,0
1714,Gobierno Autónomo Municipal de Pailón,85183116,85183116,0
1715,Gobierno Autónomo Municipal de Roboré,20940824,20940824,0
1716,Gobierno Autónomo Municipal de Portachuelo,28807102,28807102,0
1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,20610729,20610729,0
1718,Gobierno Autónomo Municipal de Lagunillas,9443826,9443826,0
1720,Gobierno Autónomo Municipal de Cabezas,35215475,35215475,0
1721,Gobierno Autónomo Municipal de Cuevo,4926870,4926870,0
1723,Gobierno Autónomo Municipal de Camiri,41500000,41500000,0
1724,Gobierno Autónomo Municipal de Boyuibe,5737583,5737583,0
1725,Gobierno Autónomo Municipal de Vallegrande,31403432,31403432,0
1726,Gobierno Autónomo Municipal de Trigal,2451369,2451369,0
1727,Gobierno Autónomo Municipal de Moro Moro,4354001,4354001,0
1728,Gobierno Autónomo Municipal de Postrer Valle,1757150,1757150,0
1729,Gobierno Autónomo Municipal de Pucara,2055912,2055912,0
1730,Gobierno Autónomo Municipal de Samaipata,19597083,19597083,0
1731,Gobierno Autónomo Municipal de Pampa Grande,11020084,11020084,0
1732,Gobierno Autónomo Municipal de Mairana,15445949,15445949,0
1733,Gobierno Autónomo Municipal de Quirusillas,3096414,3096414,0
1734,Gobierno Autónomo Municipal de Montero,216889857,216889857,0
1735,Gobierno Autónomo Municipal de General Agustín Saavedra,28924415,28924415,0
1736,Gobierno Autónomo Municipal de Mineros,33974300,33974300,0
1737,Gobierno Autónomo Municipal de Concepción,40278991,40278991,0
1738,Gobierno Autónomo Municipal de San Javier,19413631,19413631,0
1739,Gobierno Autónomo Municipal de San Julián,105893072,105893072,0
1740,Gobierno Autónomo Municipal de San Matías,15400060,15400060,0
1741,Gobierno Autónomo Municipal de Comarapa,24151388,24151388,0
1742,Gobierno Autónomo Municipal de Saipina,7443749,7443749,0
1743,Gobierno Autónomo Municipal de Puerto Suárez,25197005,25197005,0
1744,Gobierno Autónomo Municipal de Puerto Quijarro,45697585,45697585,0
1745,Gobierno Autónomo Municipal de Ascención de Guarayos,41847791,41847791,0
1746,Gobierno Autónomo Municipal de Urubicha,6477432,6477432,0
1747,Gobierno Autónomo Municipal de El Puente,20523153,20523153,0
1748,Gobierno Autónomo Municipal de Okinawa Uno,13560292,13560292,0
1749,Gobierno Autónomo Municipal de San Antonio de Lomerio,6095105,6095105,0
1750,Gobierno Autónomo Municipal de San Ramón,20231199,20231199,0
1751,Gobierno Autónomo Municipal de El Carmen Rivero Tórrez,20922082,20922082,0
1752,Gobierno Autónomo Municipal de San Juan,18896749,18896749,0
1753,Gobierno Autónomo Municipal de Fernández Alonso,19507502,19507502,0
1754,Gobierno Autónomo Municipal de San Pedro,20019625,20019625,0
1755,Gobierno Autónomo Municipal de Cuatro Cañadas,54863501,54863501,0
1756,Gobierno Autónomo Municipal de Colpa Bélgica,26049039,26049039,0
1801,Gobierno Autónomo Municipal de Trinidad,233143669,233143669,0
1802,Gobierno Autónomo Municipal de San Javier,10934259,10934259,0
1803,Gobierno Autónomo Municipal de Riberalta,161898609,161898609,0
1805,Gobierno Autónomo Municipal de Puerto Guayaramerín,57405738,57405738,0
1806,Gobierno Autónomo Municipal de Reyes,13754130,13754130,0
1807,Gobierno Autónomo Municipal de Puerto Rurrenabaque,27712885,27712885,0
1808,Gobierno Autónomo Municipal de San Borja,60852061,60852061,0
1809,Gobierno Autónomo Municipal de Santa Rosa,16814311,16814311,0
1810,Gobierno Autónomo Municipal de Santa Ana,40087242,40087242,0
1811,Gobierno Autónomo Municipal de San Ignacio,30289005,30289005,0
1812,Gobierno Autónomo Municipal de Loreto,4921799,4921799,0
1813,Gobierno Autónomo Municipal de San Andrés,18999033,18999033,0
1814,Gobierno Autónomo Municipal de San Joaquín,9478989,9478989,0
1815,Gobierno Autónomo Municipal de San Ramón,7378760,7378760,0
1816,Gobierno Autónomo Municipal de Puerto Síles,1357064,1357064,0
1817,Gobierno Autónomo Municipal de Magdalena,27504517,27504517,0
1818,Gobierno Autónomo Municipal de Baures,11125645,11125645,0
1819,Gobierno Autónomo Municipal de Huacaraje,5701760,5701760,0
1820,Gobierno Autónomo Municipal de Exaltación,12319645,12319645,0
1901,Gobierno Autónomo Municipal de Cobija,146104616,146104616,0
1902,Gobierno Autónomo Municipal de Porvenir,19023658,19023658,0
1903,Gobierno Autónomo Municipal de Bolpebra,4903243,4903243,0
1904,Gobierno Autónomo Municipal de Bella Flor,7706692,7706692,0
1905,Gobierno Autónomo Municipal de Puerto Rico,14377762,14377762,0
1906,Gobierno Autónomo Municipal de San Pedro,6312128,6312128,0
1907,Gobierno Autónomo Municipal de Filadelfia,15802755,15802755,0
1908,Gobierno Autónomo Municipal de Puerto Gonzalo Moreno,23407860,23407860,0
1909,Gobierno Autónomo Municipal de San Lorenzo,17803025,17803025,0
1910,Gobierno Autónomo Municipal de Sena,28703798,28703798,0
1911,Gobierno Autónomo Municipal de Santa Rosa del Abuná,5683428,5683428,0
1912,Gobierno Autónomo Municipal de Ingavi (Humaita),5060458,5060458,0
1913,Gobierno Autónomo Municipal de Nueva Esperanza,2799727,2799727,0
1914,Gobierno Autónomo Municipal de Villa Nueva (Loma Alta),4971902,4971902,0
1915,Gobierno Autónomo Municipal de Santos Mercado,4257745,4257745,0
3101,Autonomía del Territorio Indígena Originario Campesino Guaraní Chaqueño de Huacaya,2840267,2840267,0
3301,Gobierno Autónomo Indígena Originario Campesino del Territorio de Raqaypampa,7759242,7759242,0
3401,GAIOC de la Nación Originaria Uru Chipaya,3559849,3559849,0
3402,Gobierno Autónomo Indígena Originario Campesino de Salinas,20361054,20361054,0
3501,Gobierno Autónomo Indígena Originario Campesino de la Autonomía Originaria del Jatún Ayllu Yura,6851962,6851962,0
3701,GAIOC de Charagua Iyambae,38611940,38611940,0
3702,Gobierno Autónomo Indígena Guaraní Kereimba Iyaambae,19326257,19326257,0
3801,Gobierno Indígena Autónomo del Territorio Indígena Multiétnico,4902464,4902464,0
4601,Gobierno Autónomo Regional del Gran Chaco,289805279,289805279,0
901,Gobierno Autónomo Departamental de Chuquisaca,782262173,782262173,0
902,Gobierno Autónomo Departamental de La Paz,1677807458,1677807458,0
903,Gobierno Autónomo Departamental de Cochabamba,1100548991,1100548991,0
904,Gobierno Autónomo Departamental de Oruro,717151658,717151658,0
905,Gobierno Autónomo Departamental de Potosí,1478318200,1478318200,0
906,Gobierno Autónomo Departamental de Tarija,840539499,840539499,0
907,Gobierno Autónomo Departamental de Santa Cruz,2104684571,2104684571,0
908,Gobierno Autónomo Departamental del Beni,520970521,520970521,0
909,Gobierno Autónomo Departamental de Pando,252228684,252228684,0
