file,filename,codigo_entidad,nombre_entidad,filas,tiene_total_general,status,error
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1285_Gobierno_Autónomo_Municipal_de_Alto_Beni_objeto_gasto_fuente_total_gastos.pdf,2026_1285_Gobierno_Autónomo_Municipal_de_Alto_Beni_objeto_gasto_fuente_total_gastos.pdf,1285,Gobierno Autónomo Municipal de Alto Beni,105,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1286_Gobierno_Autónomo_Municipal_de_Huatajata_objeto_gasto_fuente_total_gastos.pdf,2026_1286_Gobierno_Autónomo_Municipal_de_Huatajata_objeto_gasto_fuente_total_gastos.pdf,1286,Gobierno Autónomo Municipal de Huatajata,27,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1287_Gobierno_Autónomo_Municipal_de_Chua_Cocani_objeto_gasto_fuente_total_gastos.pdf,2026_1287_Gobierno_Autónomo_Municipal_de_Chua_Cocani_objeto_gasto_fuente_total_gastos.pdf,1287,Gobierno Autónomo Municipal de Chua Cocani,64,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1301_Gobierno_Autónomo_Municipal_de_Cochabamba_objeto_gasto_fuente_total_gastos.pdf,2026_1301_Gobierno_Autónomo_Municipal_de_Cochabamba_objeto_gasto_fuente_total_gastos.pdf,1301,Gobierno Autónomo Municipal de Cochabamba,165,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1302_Gobierno_Autónomo_Municipal_de_Quillacollo_objeto_gasto_fuente_total_gastos.pdf,2026_1302_Gobierno_Autónomo_Municipal_de_Quillacollo_objeto_gasto_fuente_total_gastos.pdf,1302,Gobierno Autónomo Municipal de Quillacollo,140,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1303_Gobierno_Autónomo_Municipal_de_Sipe_Sipe_objeto_gasto_fuente_total_gastos.pdf,2026_1303_Gobierno_Autónomo_Municipal_de_Sipe_Sipe_objeto_gasto_fuente_total_gastos.pdf,1303,Gobierno Autónomo Municipal de Sipe Sipe,122,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1304_Gobierno_Autónomo_Municipal_de_Tiquipaya_objeto_gasto_fuente_total_gastos.pdf,2026_1304_Gobierno_Autónomo_Municipal_de_Tiquipaya_objeto_gasto_fuente_total_gastos.pdf,1304,Gobierno Autónomo Municipal de Tiquipaya,131,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1305_Gobierno_Autónomo_Municipal_de_Vinto_objeto_gasto_fuente_total_gastos.pdf,2026_1305_Gobierno_Autónomo_Municipal_de_Vinto_objeto_gasto_fuente_total_gastos.pdf,1305,Gobierno Autónomo Municipal de Vinto,122,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1306_Gobierno_Autónomo_Municipal_de_Colcapirhua_objeto_gasto_fuente_total_gastos.pdf,2026_1306_Gobierno_Autónomo_Municipal_de_Colcapirhua_objeto_gasto_fuente_total_gastos.pdf,1306,Gobierno Autónomo Municipal de Colcapirhua,134,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1307_Gobierno_Autónomo_Municipal_de_Aiquile_objeto_gasto_fuente_total_gastos.pdf,2026_1307_Gobierno_Autónomo_Municipal_de_Aiquile_objeto_gasto_fuente_total_gastos.pdf,1307,Gobierno Autónomo Municipal de Aiquile,111,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1308_Gobierno_Autónomo_Municipal_de_Pasorapa_objeto_gasto_fuente_total_gastos.pdf,2026_1308_Gobierno_Autónomo_Municipal_de_Pasorapa_objeto_gasto_fuente_total_gastos.pdf,1308,Gobierno Autónomo Municipal de Pasorapa,102,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1309_Gobierno_Autónomo_Municipal_de_Omereque_objeto_gasto_fuente_total_gastos.pdf,2026_1309_Gobierno_Autónomo_Municipal_de_Omereque_objeto_gasto_fuente_total_gastos.pdf,1309,Gobierno Autónomo Municipal de Omereque,100,True,ok,
