codigo_entidad,nombre_entidad,grupo_1_detalle,grupo_2_detalle,grupo_3_detalle,grupo_4_detalle,grupo_5_detalle,grupo_6_detalle,grupo_7_detalle,grupo_8_detalle,grupo_9_detalle,total_detalle,grupo_1_pdf,grupo_2_pdf,grupo_3_pdf,grupo_4_pdf,grupo_5_pdf,grupo_6_pdf,grupo_7_pdf,grupo_8_pdf,grupo_9_pdf,total_pdf,grupo_1_diff,grupo_2_diff,grupo_3_diff,grupo_4_diff,grupo_5_diff,grupo_6_diff,grupo_7_diff,grupo_8_diff,grupo_9_diff,total_diff
1212,Gobierno Autónomo Municipal de Umala,1493675,3457701,2663882,6305540,0,50002,263393,0,408896,14643089,1493675,3457701,2663882,6305540,0,50002,263393,0,408896,14643089,0,0,0,0,0,0,0,0,0,0
1213,Gobierno Autónomo Municipal de Ayo Ayo,1720368,2172070,3690785,157823,2815299,492828,303298,4989,0,11357460,1720368,2172070,3690785,157823,2815299,492828,303298,4989,0,11357460,0,0,0,0,0,0,0,0,0,0
1214,Gobierno Autónomo Municipal de Calamarca,2936964,8154107,4149130,13640675,0,200000,452024,0,8004362,37537262,2936964,8154107,4149130,13640675,0,200000,452024,0,8004362,37537262,0,0,0,0,0,0,0,0,0,0
1215,Gobierno Autónomo Municipal de Patacamaya,4151130,12145434,5148225,1433062,0,891138,810318,0,4164542,28743849,4151130,12145434,5148225,1433062,0,891138,810318,0,4164542,28743849,0,0,0,0,0,0,0,0,0,0
1216,Gobierno Autónomo Municipal de Colquencha,1723040,5807907,830323,1223673,0,0,315240,0,3047163,12947346,1723040,5807907,830323,1223673,0,0,315240,0,3047163,12947346,0,0,0,0,0,0,0,0,0,0
1217,Gobierno Autónomo Municipal de Collana,857258,2499218,1351054,3407994,0,0,160259,0,557749,8833532,857258,2499218,1351054,3407994,0,0,160259,0,557749,8833532,0,0,0,0,0,0,0,0,0,0
1218,Gobierno Autónomo Municipal de Inquisivi,2750081,5897985,8431251,3175055,0,1533782,1182625,0,315387,23286166,2750081,5897985,8431251,3175055,0,1533782,1182625,0,315387,23286166,0,0,0,0,0,0,0,0,0,0
1219,Gobierno Autónomo Municipal de Quime,1987048,27412,1449482,0,125001,0,295122,0,8355863,12239928,1987048,27412,1449482,0,125001,0,295122,0,8355863,12239928,0,0,0,0,0,0,0,0,0,0
1220,Gobierno Autónomo Municipal de Cajuata,1793941,3681342,5053836,2268926,3165914,256385,570555,0,0,16790899,1793941,3681342,5053836,2268926,3165914,256385,570555,0,0,16790899,0,0,0,0,0,0,0,0,0,0
1221,Gobierno Autónomo Municipal de Colquiri,3724962,5116252,7591385,8893315,0,3178382,506597,0,940203,29951096,3724962,5116252,7591385,8893315,0,3178382,506597,0,940203,29951096,0,0,0,0,0,0,0,0,0,0
1222,Gobierno Autónomo Municipal de Ichoca,1422596,1855385,3837405,445721,1504229,220128,200686,0,0,9486150,1422596,1855385,3837405,445721,1504229,220128,200686,0,0,9486150,0,0,0,0,0,0,0,0,0,0
