file,filename,codigo_entidad,nombre_entidad,filas,tiene_total_general,status,error
data\raw\sigep_2026\recursos_por_rubro\2026_1701_Gobierno_Autónomo_Municipal_de_Santa_Cruz_de_La_Sierra_recursos_por_rubro.pdf,2026_1701_Gobierno_Autónomo_Municipal_de_Santa_Cruz_de_La_Sierra_recursos_por_rubro.pdf,1701,Gobierno Autónomo Municipal de Santa Cruz de La Sierra,52,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1702_Gobierno_Autónomo_Municipal_de_Cotoca_recursos_por_rubro.pdf,2026_1702_Gobierno_Autónomo_Municipal_de_Cotoca_recursos_por_rubro.pdf,1702,Gobierno Autónomo Municipal de Cotoca,25,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1703_Gobierno_Autónomo_Municipal_de_Porongo_Ayacucho_recursos_por_rubro.pdf,2026_1703_Gobierno_Autónomo_Municipal_de_Porongo_Ayacucho_recursos_por_rubro.pdf,1703,Gobierno Autónomo Municipal de Porongo (Ayacucho),32,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1704_Gobierno_Autónomo_Municipal_de_La_Guardia_recursos_por_rubro.pdf,2026_1704_Gobierno_Autónomo_Municipal_de_La_Guardia_recursos_por_rubro.pdf,1704,Gobierno Autónomo Municipal de La Guardia,40,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1705_Gobierno_Autónomo_Municipal_de_El_Torno_recursos_por_rubro.pdf,2026_1705_Gobierno_Autónomo_Municipal_de_El_Torno_recursos_por_rubro.pdf,1705,Gobierno Autónomo Municipal de El Torno,30,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1706_Gobierno_Autónomo_Municipal_de_Warnes_recursos_por_rubro.pdf,2026_1706_Gobierno_Autónomo_Municipal_de_Warnes_recursos_por_rubro.pdf,1706,Gobierno Autónomo Municipal de Warnes,38,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1707_Gobierno_Autónomo_Municipal_de_San_Ignacio_San_Ignacio_de_Velasco_recursos_por_rubro.pdf,2026_1707_Gobierno_Autónomo_Municipal_de_San_Ignacio_San_Ignacio_de_Velasco_recursos_por_rubro.pdf,1707,Gobierno Autónomo Municipal de San Ignacio (San Ignacio de Velasco),36,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1708_Gobierno_Autónomo_Municipal_de_San_Miguel_San_Miguel_de_Velasco_recursos_por_rubro.pdf,2026_1708_Gobierno_Autónomo_Municipal_de_San_Miguel_San_Miguel_de_Velasco_recursos_por_rubro.pdf,1708,Gobierno Autónomo Municipal de San Miguel (San Miguel de Velasco),30,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1709_Gobierno_Autónomo_Municipal_de_San_Rafael_recursos_por_rubro.pdf,2026_1709_Gobierno_Autónomo_Municipal_de_San_Rafael_recursos_por_rubro.pdf,1709,Gobierno Autónomo Municipal de San Rafael,28,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1710_Gobierno_Autónomo_Municipal_de_Buena_Vista_recursos_por_rubro.pdf,2026_1710_Gobierno_Autónomo_Municipal_de_Buena_Vista_recursos_por_rubro.pdf,1710,Gobierno Autónomo Municipal de Buena Vista,31,True,ok,
data\raw\sigep_2026\recursos_por_rubro\2026_1711_Gobierno_Autónomo_Municipal_de_San_Carlos_recursos_por_rubro.pdf,2026_1711_Gobierno_Autónomo_Municipal_de_San_Carlos_recursos_por_rubro.pdf,1711,Gobierno Autónomo Municipal de San Carlos,24,True,ok,
