gestion,codigo_entidad,nombre_entidad,objeto_gasto,objeto_padre,nivel_objeto,descripcion,entidad_transferencia,file,fuente_columna,monto
2026,1114,Gobierno Autónomo Municipal de El Villar,4.2.3.10,4.2.3,4,Construcciones y Mejoras de Bienes de Dominio Público,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1114_Gobierno_Autónomo_Municipal_de_El_Villar_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,1177209
2026,1114,Gobierno Autónomo Municipal de El Villar,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1114_Gobierno_Autónomo_Municipal_de_El_Villar_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,26100
2026,1115,Gobierno Autónomo Municipal de Monteagudo,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1115_Gobierno_Autónomo_Municipal_de_Monteagudo_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,2478235
2026,1115,Gobierno Autónomo Municipal de Monteagudo,4.2.2.40,4.2.2,4,S D u o p m e in rv io is i ó P n ri v d a e d C o onstrucciones y Mejoras de Bienes Públicos de,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1115_Gobierno_Autónomo_Municipal_de_Monteagudo_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,123911
2026,1115,Gobierno Autónomo Municipal de Monteagudo,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1115_Gobierno_Autónomo_Municipal_de_Monteagudo_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,53556
2026,1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1116_Gobierno_Autónomo_Municipal_de_San_Pablo_de_Huacareta_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,3224532
2026,1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,4.2.2.40,4.2.2,4,S D u o p m e in rv io is i ó P n ri v d a e d C o onstrucciones y Mejoras de Bienes Públicos de,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1116_Gobierno_Autónomo_Municipal_de_San_Pablo_de_Huacareta_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,283159
2026,1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1116_Gobierno_Autónomo_Municipal_de_San_Pablo_de_Huacareta_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,39000
2026,1117,Gobierno Autónomo Municipal de Tarabuco,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1117_Gobierno_Autónomo_Municipal_de_Tarabuco_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,644872
2026,1117,Gobierno Autónomo Municipal de Tarabuco,4.2.2.40,4.2.2,4,S D u o p m e in rv io is i ó P n ri v d a e d C o onstrucciones y Mejoras de Bienes Públicos de,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1117_Gobierno_Autónomo_Municipal_de_Tarabuco_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,32243
2026,1117,Gobierno Autónomo Municipal de Tarabuco,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1117_Gobierno_Autónomo_Municipal_de_Tarabuco_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,40013
2026,1118,Gobierno Autónomo Municipal de Yamparáez,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1118_Gobierno_Autónomo_Municipal_de_Yamparáez_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,2240084
2026,1118,Gobierno Autónomo Municipal de Yamparáez,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1118_Gobierno_Autónomo_Municipal_de_Yamparáez_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,18075
2026,1119,Gobierno Autónomo Municipal de Camargo,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1119_Gobierno_Autónomo_Municipal_de_Camargo_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,45713
