codigo_entidad,nombre_entidad,sigla,tipo,grupo_eta,departamento,fuente
1285,Gobierno Autónomo Municipal de Alto Beni,ABN,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1286,Gobierno Autónomo Municipal de Huatajata,HUAT,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1287,Gobierno Autónomo Municipal de Chua Cocani,CHCO,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1301,Gobierno Autónomo Municipal de Cochabamba,CBB,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1302,Gobierno Autónomo Municipal de Quillacollo,QLL,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1303,Gobierno Autónomo Municipal de Sipe Sipe,SIP,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1304,Gobierno Autónomo Municipal de Tiquipaya,TIQ,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1305,Gobierno Autónomo Municipal de Vinto,VIN,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1306,Gobierno Autónomo Municipal de Colcapirhua,CCP,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1307,Gobierno Autónomo Municipal de Aiquile,AIQ,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1308,Gobierno Autónomo Municipal de Pasorapa,PAS,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1309,Gobierno Autónomo Municipal de Omereque,OME,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1310,Gobierno Autónomo Municipal de Independencia,IND,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1311,Gobierno Autónomo Municipal de Morochata,MOH,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1312,Gobierno Autónomo Municipal de Sacaba,SCB,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1313,Gobierno Autónomo Municipal de Colomi,CLM,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1314,Gobierno Autónomo Municipal de Villa Tunari,TUN,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1315,Gobierno Autónomo Municipal de Punata,PNT,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1316,Gobierno Autónomo Municipal de Villa Rivero,VRV,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1317,Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza),MEN,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1318,Gobierno Autónomo Municipal de Tacachi,TAC,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1319,Gobierno Autónomo Municipal Villa Gualberto Villarroel,VGV,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1320,Gobierno Autónomo Municipal de Tarata,TRT,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1321,Gobierno Autónomo Municipal de Anzaldo,ANZ,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1322,Gobierno Autónomo Municipal de Arbieto,ARB,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1323,Gobierno Autónomo Municipal de Sacabamba,SBB,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1324,Gobierno Autónomo Municipal de Cliza,CLI,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1325,Gobierno Autónomo Municipal de Toco,TOC,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1326,Gobierno Autónomo Municipal de Tolata,TLA,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1327,Gobierno Autónomo Municipal de Capinota,CAP,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1328,Gobierno Autónomo Municipal de Santivañez,SAN,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1329,Gobierno Autónomo Municipal de Sicaya,SCY,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1330,Gobierno Autónomo Municipal de Tapacari,TAP,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1331,Gobierno Autónomo Municipal de Totora,TOT,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1332,Gobierno Autónomo Municipal de Pojo,POJ,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1333,Gobierno Autónomo Municipal de Pocona,POC,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1334,Gobierno Autónomo Municipal de Chimoré,CHI,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1335,Gobierno Autónomo Municipal de Puerto Villarroel,PVI,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1336,Gobierno Autónomo Municipal de Arani,ARA,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1337,Gobierno Autónomo Municipal de Vacas,VAC,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1338,Gobierno Autónomo Municipal de Arque,ARQ,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1339,Gobierno Autónomo Municipal de Tacopaya,TPY,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1340,Gobierno Autónomo Municipal de Bolivar,BOL,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1341,Gobierno Autónomo Municipal de Tiraque,TRQ,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1342,Gobierno Autónomo Municipal de Mizque,MIZ,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1343,Gobierno Autónomo Municipal de Vila Vila,VIS,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1344,Gobierno Autónomo Municipal de Alalay,ALA,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1345,Gobierno Autónomo Municipal de Entre Rios,ERI,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1346,Gobierno Autónomo Municipal de Cocapata,CCT,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1347,Gobierno Autónomo Municipal de Shinahota,SHI,municipal,GAM,Cochabamba,Clasificadores Presupuestarios 2026
1401,Gobierno Autónomo Municipal de Oruro,ORU,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1402,Gobierno Autónomo Municipal de Caracollo,CAR,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1403,Gobierno Autónomo Municipal de El Choro,CHO,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1404,Gobierno Autónomo Municipal de Challapata,CHT,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1405,Gobierno Autónomo Municipal de Santuario de Quillacas,STQ,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1406,Gobierno Autónomo Municipal de Huanuni,VHU,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1407,Gobierno Autónomo Municipal de Machacamarca,MAR,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1408,Gobierno Autónomo Municipal de Poopó (Villa Poopó),POO,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1409,Gobierno Autónomo Municipal de Pazña,PAZ,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1410,Gobierno Autónomo Municipal de Antequera,ANT,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1411,Gobierno Autónomo Municipal de Eucaliptus,EUC,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1412,Gobierno Autónomo Municipal de Santiago de Huari,SHU,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1413,Gobierno Autónomo Municipal de Totora,TTR,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1414,Gobierno Autónomo Municipal de Corque,CRQ,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
