departamento_geo,provincia_geo,municipio_geo,capital_geo,municipio_alternativo,pibpc_2021,decil_pibpc_2021,has_presupuesto,codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,provincia_ine,municipio_ine,poblacion_2024,presupuesto_total,presupuesto_per_capita,ingresos_total,autonomia_fiscal_pct,autonomia_fiscal_aplica,dependencia_tgn_pct,coparticipacion_pct,idh_pct,regalias_pct,recursos_especificos_gam_gaioc_pct
Cochabamba,Arque,Arque,Villa de Arque,Arque,3.7594854802591726e-06,10.0,True,1338,Gobierno Autónomo Municipal de Arque,Cochabamba,municipal,GAM,Arque,Arque,10632.0,13660801.0,1284.8759405568,13660801.0,2.422991,True,95.538395,64.723298,7.315764,1.526199,2.422991
Oruro,Litoral,Yunguyo del Litoral,Yunguyo del Litoral,Yunguyo del Litoral,2.0530667370621813e-06,3.0,True,1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,municipal,GAM,Litoral,Yunguyo del Litoral,875.0,1303623.0,1489.8548571429,1303623.0,26.848253,True,73.151747,56.249161,16.902586,0.0,26.848253
Oruro,Litoral,Huachacalla,Huachacalla,Huachacalla,2.0471391053433763e-06,3.0,True,1418,Gobierno Autónomo Municipal de Huachacalla,Oruro,municipal,GAM,Litoral,Huachacalla,4011.0,4567457.0,1138.7327349788,4567457.0,5.473505,True,94.526495,72.3357,21.736494,0.0,5.473505
Oruro,Litoral,Esmeralda,Esmeralda,Esmeralda,2.2275912670011166e-06,5.0,True,1422,Gobierno Autónomo Municipal de Esmeralda,Oruro,municipal,GAM,Litoral,Esmeralda,3882.0,4910318.0,1264.8938691396,4910318.0,14.255696,True,85.744304,65.744153,19.755767,0.0,14.255696
Oruro,Abaroa,Santuario de Quillacas,Santuario de Quillacas,Santuario de Quillacas,1.9760193481488386e-06,2.0,True,1405,Gobierno Autónomo Municipal de Santuario de Quillacas,Oruro,municipal,GAM,Abaroa,Santuario de Quillacas,5161.0,11289263.0,2187.4177484984,11289263.0,0.0,True,100.0,37.594943,11.297088,0.0,0.0
Oruro,Ladislao Cabrera,Pampa Aullagas,Pampa Aullagas,Pampa Aullagas,2.3425523067999166e-06,6.0,True,1427,Gobierno Autónomo Municipal de Pampa Aullagas,Oruro,municipal,GAM,Ladislao Cabrera,Pampa Aullagas,3197.0,5151173.0,1611.2521113544,5151173.0,1.164783,True,98.835217,51.32398,15.422584,0.0,1.164783
Oruro,Sebastián Pagador,Santiago de Huari,Santiago de Huari,Santiago de Huari,1.969342520169448e-06,2.0,True,1412,Gobierno Autónomo Municipal de Santiago de Huari,Oruro,municipal,GAM,Sebastián Pagador,Santiago de Huari,13502.0,17800567.0,1318.3652051548,17800567.0,3.994255,True,94.305783,62.767152,18.861203,1.699963,3.994255
Oruro,Poopó,Pazña,Pazña,Pazña,2.8101665066060377e-06,9.0,True,1409,Gobierno Autónomo Municipal de Pazña,Oruro,municipal,GAM,Poopó,Pazña,4251.0,7223015.0,1699.1331451423,7223015.0,4.845622,True,92.995086,48.572805,14.595872,2.159292,4.845622
Chuquisaca,Oropeza,Sucre,Sucre,Sucre,2.387781250945409e-06,6.0,True,1101,Gobierno Autónomo Municipal de Sucre,Chuquisaca,municipal,GAM,Oropeza,Sucre,296746.0,536787240.0,1808.9114596321,536787240.0,33.105681,True,61.673355,45.864028,13.094383,0.047214,33.105681
Chuquisaca,Yamparáez,Tarabuco,Tarabuco,Tarabuco,1.9497720131766982e-06,2.0,True,1117,Gobierno Autónomo Municipal de Tarabuco,Chuquisaca,municipal,GAM,Yamparáez,Tarabuco,13323.0,15379769.0,1154.377317421,15379769.0,3.231518,True,96.744158,71.63053,20.450827,0.000306,3.231518
Chuquisaca,Yamparáez,Yamparáez,Yamparáez,Yamparáez,2.021728505496867e-06,3.0,True,1118,Gobierno Autónomo Municipal de Yamparáez,Chuquisaca,municipal,GAM,Yamparáez,Yamparáez,8480.0,12312010.0,1451.8879716981,12312010.0,3.24886,True,96.507475,61.707934,16.458434,0.0,3.24886
Chuquisaca,Oropeza,Yotala,Yotala,Yotala,2.533438191676396e-06,8.0,True,1102,Gobierno Autónomo Municipal de Yotala,Chuquisaca,municipal,GAM,Oropeza,Yotala,9256.0,12144616.0,1312.0803802939,12144616.0,16.273549,True,82.227351,63.89778,18.061238,0.093515,16.273549
Potosí,Cornelio Saavedra,Tacobamba,Tacobamba,Tacobamba,2.704993903535069e-06,8.0,True,1510,Gobierno Autónomo Municipal de Tacobamba,Potosí,municipal,GAM,Cornelio Saavedra,Tacobamba,14366.0,16412622.0,1142.4628985104,16412622.0,0.213251,True,96.185521,74.117591,14.398845,3.5403,0.213251
Potosí,Cornelio Saavedra,Betanzos,Villa de Betanzos,Betanzos,2.172170979974908e-06,4.0,True,1508,Gobierno Autónomo Municipal de Betanzos,Potosí,municipal,GAM,Cornelio Saavedra,Betanzos,31904.0,33608920.0,1053.4390672016,33608920.0,3.754566,True,95.91656,80.111441,15.723986,0.107504,3.754566
Chuquisaca,Zudáñez,Villa Ricardo Mugia - Icla,Icla,Icla (R.Mujia),1.9621463707153453e-06,2.0,True,1109,Gobierno Autónomo Municipal de Icla,Chuquisaca,municipal,GAM,Zudáñez,Icla,9155.0,9947023.0,1086.5126160568,9947023.0,3.1258,True,96.8742,74.002382,21.128,0.0,3.1258
Oruro,Litoral,Cruz de Machacamarca,Cruz de Machacamarca,Cruz de Machacamarca,2.0855161437793868e-06,4.0,True,1420,Gobierno Autónomo Municipal de Cruz de Machacamarca,Oruro,municipal,GAM,Litoral,Cruz de Machacamarca,1517.0,3013700.0,1986.6183256427,3013700.0,45.790888,True,54.209112,41.683446,12.525666,0.0,45.790888
Pando,Nicolás Suárez,Porvenir,Porvenir,Porvenir,3.7697375319112325e-06,10.0,True,1902,Gobierno Autónomo Municipal de Porvenir,Pando,municipal,GAM,Nicolás Suárez,Porvenir,9353.0,19023658.0,2033.9632203571,19023658.0,8.255005,True,90.73481,39.201052,51.366399,0.0,8.255005
La Paz,Inquisivi,Colquiri,Colquiri,Colquiri,2.053350272035459e-06,3.0,True,1221,Gobierno Autónomo Municipal de Colquiri,La Paz,municipal,GAM,Inquisivi,Colquiri,23505.0,29951096.0,1274.243607743,29951096.0,1.869715,True,71.911746,65.10893,6.785371,25.816758,1.869715
La Paz,Pacajes,Santiago de Callapa,Santiago de Callapa,Santiago de Callapa,2.219434918515617e-06,5.0,True,1245,Gobierno Autónomo Municipal de Santiago de Callapa,La Paz,municipal,GAM,Pacajes,Santiago de Callapa,8037.0,7949954.0,989.1693417942,7949954.0,3.144672,True,96.844208,83.67266,8.932253,0.01112,3.144672
