DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIBpc_2021_wmean,decile,departamento_geo,provincia_geo,municipio_geo,depto_key,mun_key,codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,presupuesto_total,provincia_ine,municipio_ine,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
Santa Cruz,Ichilo,San Carlos,San Carlos,1926-04-08,CSL,1991-11-11,-63.7536020036,-17.2907266939,San Carlos,2.3627524114999687e-06,6,Santa Cruz,Ichilo,San Carlos,santa cruz,san carlos,1711,Gobierno Autónomo Municipal de San Carlos,Santa Cruz,municipal,GAM,25580506.0,Ichilo,San Carlos,16502.0,20093.0,18942.0,9807.0,9135.0,1350.4648928307
Beni,ItÃ©nez,Magdalena,Magdalena,1995-10-31,CSDS,1856-07-09,-63.6875290685,-12.9948015999,Magdalena,2.5394383555976674e-06,8,Beni,Iténez,Magdalena,beni,magdalena,1817,Gobierno Autónomo Municipal de Magdalena,Beni,municipal,GAM,27504517.0,Iténez,Magdalena,9908.0,11377.0,12785.0,6742.0,6043.0,2151.3114587407
Santa Cruz,Sara,Portachuelo,Portachuelo,1883-09-25,CSL,1883-09-25,-63.4485751723,-17.3568644758,Portachuelo,2.475260998835438e-06,7,Santa Cruz,Sara,Portachuelo,santa cruz,portachuelo,1716,Gobierno Autónomo Municipal de Portachuelo,Santa Cruz,municipal,GAM,28807102.0,Sara,Portachuelo,16408.0,17885.0,20743.0,10641.0,10102.0,1388.7625705057
PotosÃ­,Sur Lipez,San Antonio de Esmoruco,San Antonio de Esmoruco,1885-12-04,639,1984-09-20,-66.6344764147,-22.0841476347,San Antonio de Esmoruco,3.336730060254922e-06,10,Potosí,Sur Lipez,San Antonio de Esmoruco,potosi,san antonio de esmoruco,1525,Gobierno Autónomo Municipal de San Antonio de Esmoruco,Potosí,municipal,GAM,2254656.0,Sur Lípez,San Antonio de Esmoruco,1666.0,2284.0,1936.0,968.0,968.0,1164.5950413223
Tarija,AvilÃ©s,Uriondo,ConcepciÃ³n,1957-12-26,CSDS,1945-10-25,-64.7084717376,-21.7429947196,Uriondo,2.5545100470480975e-06,8,Tarija,Avilés,Uriondo,tarija,uriondo,1607,Gobierno Autónomo Municipal de Uriondo (Concepción),Tarija,municipal,GAM,33139396.0,Avilez,Uriondo,12331.0,14781.0,15923.0,7813.0,8110.0,2081.2281605225
PotosÃ­,Sur Lipez,Mojinete,Mojinete,1885-12-04,1275,1991-10-10,-66.3510609938,-21.8140904551,Mojinete,2.5877143343677744e-06,8,Potosí,Sur Lipez,Mojinete,potosi,mojinete,1524,Gobierno Autónomo Municipal de Mojinete,Potosí,municipal,GAM,1237707.0,Sur Lípez,Mojinete,716.0,1180.0,1025.0,516.0,509.0,1207.5190243902
Tarija,Gran Chaco,Yacuiba,Yacuiba,1876-08-12,CSL,1957-02-25,-63.2849222463,-21.794026483,Yacuiba,2.447733550070552e-06,7,Tarija,Gran Chaco,Yacuiba,tarija,yacuiba,1604,Gobierno Autónomo Municipal de Yacuiba,Tarija,municipal,GAM,194028218.0,Gran Chaco,Yacuiba,83518.0,92245.0,97634.0,48721.0,48913.0,1987.3017391482
Tarija,AvilÃ©s,YuncharÃ¡,YuncharÃ¡,1957-12-26,CSL,1957-12-26,-65.1628324837,-21.790291271,YuncharÃ¡,2.8512913559097797e-06,9,Tarija,Avilés,Yunchará,tarija,yunchara,1608,Gobierno Autónomo Municipal de Yunchara,Tarija,municipal,GAM,9529971.0,Avilez,Yunchará,5173.0,5490.0,4754.0,2338.0,2416.0,2004.6215818258
Tarija,Gran Chaco,CaraparÃ­,CaraparÃ­,1876-08-12,ML,1880-10-19,-63.8989283738,-21.8159613922,CaraparÃ­,3.471406216704054e-06,10,Tarija,Gran Chaco,Caraparí,tarija,carapari,1605,Gobierno Autónomo Municipal de Caraparí,Tarija,municipal,GAM,51198627.0,Gran Chaco,Caraparí,9035.0,15366.0,15559.0,8061.0,7498.0,3290.6116717013
Tarija,MÃ©ndez,San Lorenzo,Villa San Lorenzo,1880-10-19,CSL,1880-10-19,-64.6952451869,-21.2341634422,Villa San Lorenzo,2.1050670966360485e-06,4,Tarija,Méndez,San Lorenzo,tarija,san lorenzo,1609,Gobierno Autónomo Municipal de San Lorenzo,Tarija,municipal,GAM,44450081.0,Méndez,San Lorenzo,21375.0,23863.0,30346.0,14954.0,15392.0,1464.7756211692
Tarija,MÃ©ndez,El Puente,El Puente,1880-10-19,CSL,1947-05-12,-65.0494109735,-21.2784640146,Tomayapo (El Puente),2.2257449927565176e-06,5,Tarija,Méndez,El Puente,tarija,el puente,1610,Gobierno Autónomo Municipal de El Puente,Tarija,municipal,GAM,22257153.0,Méndez,El Puente,10663.0,11354.0,9523.0,4691.0,4832.0,2337.1997269768
PotosÃ­,Enrique Baldivieso,San AgustÃ­n,San AgustÃ­n,1985-02-06,707,1985-02-06,-67.4139586623,-21.4952964406,San AgustÃ­n,4.995494691684144e-06,10,Potosí,Enrique Baldivieso,San Agustín,potosi,san agustin,1538,Gobierno Autónomo Municipal de San Agustín,Potosí,municipal,GAM,2290357.0,Enrique Baldivieso,San Agustín,1640.0,1684.0,2126.0,1057.0,1069.0,1077.3080903104
Tarija,Cercado,Tarija,Tarija,1880-10-19,CSL,1880-10-19,-64.5939866409,-21.5595060021,Tarija,2.397044454482966e-06,7,Tarija,Cercado,Tarija,tarija,tarija,1601,Gobierno Autónomo Municipal de Tarija,Tarija,municipal,GAM,567296182.0,Cercado,Tarija,153457.0,205375.0,238749.0,116148.0,122601.0,2376.1196151607
PotosÃ­,ChÃ¡rcas,Toro Toro,Toro Toro,1880-09-03,CSL,1883-11-21,-65.7008566699,-18.2095446631,Toro Toro,2.1247637960186694e-06,4,Potosí,Chárcas,Toro Toro,potosi,toro toro,1516,Gobierno Autónomo Municipal de Toro Toro,Potosí,municipal,GAM,14595571.0,Charcas,Toro Toro,10535.0,10870.0,10714.0,5511.0,5203.0,1362.2896210566
PotosÃ­,ChÃ¡rcas,San Pedro,San Pedro,1880-09-03,CSL,1880-09-03,-65.9682190293,-18.3406283882,San Pedro de Buena Vista,1.9160372630722122e-06,2,Potosí,Chárcas,San Pedro,potosi,san pedro,1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,municipal,GAM,48207623.0,Charcas,San Pedro,27639.0,30012.0,28416.0,15059.0,13357.0,1696.4957418356
Chuquisaca,Oropeza,Poroma,Poroma,1912-11-18,ML,1912-11-18,-65.3851521997,-18.6217942288,Poroma,2.4235960154328495e-06,7,Chuquisaca,Oropeza,Poroma,chuquisaca,poroma,1103,Gobierno Autónomo Municipal de Poroma,Chuquisaca,municipal,GAM,15293419.0,Oropeza,Poroma,16966.0,16532.0,13649.0,6982.0,6667.0,1120.4790827167
PotosÃ­,Chayanta,Ravelo,Ravelo,1880-09-03,CSL,1913-11-14,-65.5633725064,-18.7526965756,Ravelo,2.302292614331236e-06,6,Potosí,Chayanta,Ravelo,potosi,ravelo,1512,Gobierno Autónomo Municipal de Ravelo,Potosí,municipal,GAM,18645113.0,Chayanta,Ravelo,20536.0,21213.0,16909.0,8930.0,7979.0,1102.6739014726
PotosÃ­,Chayanta,OcurÃ­,OcurÃ­,1880-09-03,257,1963-11-16,-65.7684325587,-18.8898291284,OcurÃ­,2.0711850083898753e-06,3,Potosí,Chayanta,Ocurí,potosi,ocuri,1514,Gobierno Autónomo Municipal de Ocurí,Potosí,municipal,GAM,14867447.0,Chayanta,Ocurí,18516.0,16118.0,14532.0,8250.0,6282.0,1023.0833333333
PotosÃ­,Daniel Campos,Tahua,Tahua,1949-12-26,129,1961-12-13,-67.943750749,-20.2873876632,Tahua,2.6117495508515276e-06,8,Potosí,Daniel Campos,Tahua,potosi,tahua,1536,Gobierno Autónomo Municipal de Tahua,Potosí,municipal,GAM,1620696.0,Daniel Campos,Tahua,2166.0,1700.0,1546.0,803.0,743.0,1048.3156532988
