status,departamento_pob2021,municipio_pob2021,pob2021_key,poblacion_proyectada_2021,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo
match_exacto,La Paz,Apolo,apolo,17539,1249,Gobierno Autónomo Municipal de Apolo,La Paz,GAM,municipal
match_exacto,La Paz,Pelechuco,pelechuco,7383,1250,Gobierno Autónomo Municipal de Pelechuco,La Paz,GAM,municipal
match_exacto,La Paz,Viacha,viacha,85703,1206,Gobierno Autónomo Municipal de Viacha,La Paz,GAM,municipal
match_exacto,La Paz,Guaqui,guaqui,7672,1207,Gobierno Autónomo Municipal de Guaqui,La Paz,GAM,municipal
match_exacto,La Paz,Tiahuanacu,tiahuanacu,9908,1208,Gobierno Autónomo Municipal de Tiahuanacu,La Paz,GAM,municipal
match_exacto,La Paz,Desaguadero,desaguadero,7394,1209,Gobierno Autónomo Municipal de Desaguadero,La Paz,GAM,municipal
match_exacto,La Paz,San Andrés de Machaca,san andres de machaca,5965,1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,GAM,municipal
match_exacto,La Paz,Jesús de Machaca,jesus de machaca,12067,1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,GAM,municipal
match_exacto,La Paz,Taraco,taraco,6491,1280,Gobierno Autónomo Municipal de Taraco,La Paz,GAM,municipal
match_exacto,La Paz,Luribay,luribay,10185,1251,Gobierno Autónomo Municipal de Luribay,La Paz,GAM,municipal
match_exacto,La Paz,Sapahaqui,sapahaqui,10267,1252,Gobierno Autónomo Municipal de Sapahaqui,La Paz,GAM,municipal
match_exacto,La Paz,Yaco,yaco,7671,1253,Gobierno Autónomo Municipal de Yaco,La Paz,GAM,municipal
match_exacto,La Paz,Malla,malla,3105,1254,Gobierno Autónomo Municipal de Malla,La Paz,GAM,municipal
match_exacto,La Paz,Cairoma,cairoma,9768,1255,Gobierno Autónomo Municipal de Cairoma,La Paz,GAM,municipal
match_exacto,La Paz,Inquisivi,inquisivi,12475,1218,Gobierno Autónomo Municipal de Inquisivi,La Paz,GAM,municipal
match_exacto,La Paz,Quime,quime,8467,1219,Gobierno Autónomo Municipal de Quime,La Paz,GAM,municipal
match_exacto,La Paz,Cajuata,cajuata,10541,1220,Gobierno Autónomo Municipal de Cajuata,La Paz,GAM,municipal
match_exacto,La Paz,Colquiri,colquiri,17305,1221,Gobierno Autónomo Municipal de Colquiri,La Paz,GAM,municipal
match_exacto,La Paz,Ichoca,ichoca,6844,1222,Gobierno Autónomo Municipal de Ichoca,La Paz,GAM,municipal
match_exacto,La Paz,Villa Libertad Licoma,villa libertad licoma,3227,1223,Gobierno Autónomo Municipal de Villa Libertad Licoma,La Paz,GAM,municipal
match_contiene,La Paz,Chulumani,chulumani,17494,1256,Gobierno Autónomo Municipal de Chulumani (Villa de la Libertad),La Paz,GAM,municipal
match_contiene,La Paz,Irupana,irupana,14897,1257,Gobierno Autónomo Municipal de Irupana (Villa de Lanza),La Paz,GAM,municipal
match_exacto,La Paz,Yanacachi,yanacachi,6406,1258,Gobierno Autónomo Municipal de Yanacachi,La Paz,GAM,municipal
match_exacto,La Paz,Palos Blancos,palos blancos,24017,1259,Gobierno Autónomo Municipal de Palos Blancos,La Paz,GAM,municipal
match_exacto,La Paz,La Asunta,la asunta,39237,1260,Gobierno Autónomo Municipal de La Asunta,La Paz,GAM,municipal
match_exacto,La Paz,Pucarani,pucarani,24807,1261,Gobierno Autónomo Municipal de Pucarani,La Paz,GAM,municipal
match_exacto,La Paz,Laja,laja,17848,1262,Gobierno Autónomo Municipal de Laja,La Paz,GAM,municipal
match_exacto,La Paz,Batallas,batallas,15009,1263,Gobierno Autónomo Municipal de Batallas,La Paz,GAM,municipal
match_exacto,La Paz,Puerto Pérez,puerto perez,7661,1264,Gobierno Autónomo Municipal de Puerto Pérez,La Paz,GAM,municipal
match_contiene,La Paz,Sica Sica,sica sica,20857,1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,GAM,municipal
match_exacto,La Paz,Umala,umala,8584,1212,Gobierno Autónomo Municipal de Umala,La Paz,GAM,municipal
match_exacto,La Paz,Ayo Ayo,ayo ayo,8321,1213,Gobierno Autónomo Municipal de Ayo Ayo,La Paz,GAM,municipal
match_exacto,La Paz,Calamarca,calamarca,10921,1214,Gobierno Autónomo Municipal de Calamarca,La Paz,GAM,municipal
match_exacto,La Paz,Patacamaya,patacamaya,22249,1215,Gobierno Autónomo Municipal de Patacamaya,La Paz,GAM,municipal
match_exacto,La Paz,Colquencha,colquencha,8245,1216,Gobierno Autónomo Municipal de Colquencha,La Paz,GAM,municipal
match_exacto,La Paz,Collana,collana,3949,1217,Gobierno Autónomo Municipal de Collana,La Paz,GAM,municipal
match_exacto,La Paz,Coroico,coroico,16688,1265,Gobierno Autónomo Municipal de Coroico,La Paz,GAM,municipal
