status,departamento_nbi,provincia_nbi,municipio_nbi,nbi_key,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,nbi_inadecuados_materiales_vivienda,nbi_insuficientes_espacios_vivienda,nbi_inadecuados_agua_saneamiento,nbi_inadecuados_insumos_energeticos,nbi_insuficiencia_educacion,nbi_inadecuada_atencion_salud,nbi_no_pobre_pct,nbi_necesidades_basicas_satisfechas_pct,nbi_umbral_pct,nbi_pobre_pct,nbi_pobre_moderada_pct,nbi_pobre_indigente_pct,nbi_pobre_marginal_pct
match_exacto,LA PAZ,Larecaja,Combaya,combaya,1231,Gobierno Autónomo Municipal de Combaya,La Paz,GAM,municipal,2042,1842,2040,2475,1592,945,37.1,12.2,24.9,62.9,51.2,11.5,0.2
match_exacto,LA PAZ,Larecaja,Tipuani,tipuani,1229,Gobierno Autónomo Municipal de Tipuani,La Paz,GAM,municipal,1339,4751,3535,481,2182,1122,64.9,12.9,52.0,35.1,33.0,2.0,0.1
match_exacto,LA PAZ,Larecaja,Mapiri,mapiri,1276,Gobierno Autónomo Municipal de Mapiri,La Paz,GAM,municipal,3712,13677,6861,1473,6184,3846,63.9,10.0,53.9,36.1,33.3,2.7,0.1
match_exacto,LA PAZ,Larecaja,Teoponte,teoponte,1277,Gobierno Autónomo Municipal de Teoponte,La Paz,GAM,municipal,5985,9166,7099,5336,4712,2437,43.3,7.6,35.7,56.7,46.4,9.9,0.5
match_exacto,LA PAZ,Franz Tamayo,Apolo,apolo,1249,Gobierno Autónomo Municipal de Apolo,La Paz,GAM,municipal,9992,13108,10830,10208,7582,5692,33.2,5.7,27.5,66.8,53.6,12.7,0.5
match_exacto,LA PAZ,Franz Tamayo,Pelechuco,pelechuco,1250,Gobierno Autónomo Municipal de Pelechuco,La Paz,GAM,municipal,4497,4526,5273,2033,3517,1447,43.9,7.3,36.6,56.1,50.8,5.1,0.2
match_exacto,LA PAZ,Ingavi,Viacha,viacha,1206,Gobierno Autónomo Municipal de Viacha,La Paz,GAM,municipal,18533,58637,28206,11557,28794,25216,72.5,25.5,47.0,27.5,25.0,2.5,0.0
match_manual,LA PAZ,Ingavi,Puerto Mayor de Guaqui,puerto mayor de guaqui,1207,Gobierno Autónomo Municipal de Guaqui,La Paz,GAM,municipal,2753,4115,2796,1675,3594,2122,55.4,14.0,41.4,44.6,40.7,3.9,0.0
match_exacto,LA PAZ,Ingavi,Tiahuanacu,tiahuanacu,1208,Gobierno Autónomo Municipal de Tiahuanacu,La Paz,GAM,municipal,6064,8037,7324,5281,5638,3228,41.8,6.9,34.9,58.2,49.2,9.0,0.0
match_exacto,LA PAZ,Ingavi,Desaguadero,desaguadero,1209,Gobierno Autónomo Municipal de Desaguadero,La Paz,GAM,municipal,2061,4507,2336,908,2993,2014,64.7,13.6,51.1,35.3,33.3,2.0,0.0
match_manual,LA PAZ,Ingavi,La (Marka) San Andrés de Machaca,la marka san andres de machaca,1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,GAM,municipal,5352,4951,6635,5111,2922,1667,25.3,3.1,22.2,74.7,65.9,8.6,0.3
match_manual,LA PAZ,Ingavi,Jesús de Machaka,jesus de machaka,1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,GAM,municipal,11623,10264,8055,9551,5866,3443,39.2,5.0,34.2,60.8,55.6,5.2,0.1
match_exacto,LA PAZ,Ingavi,Taraco,taraco,1280,Gobierno Autónomo Municipal de Taraco,La Paz,GAM,municipal,3553,4850,3993,1367,3643,1975,40.8,5.8,35.0,59.2,52.8,6.3,0.1
match_exacto,LA PAZ,Loayza,Luribay,luribay,1251,Gobierno Autónomo Municipal de Luribay,La Paz,GAM,municipal,3805,5405,5117,5085,4758,1812,46.0,6.1,39.9,54.0,46.2,7.3,0.5
match_exacto,LA PAZ,Loayza,Sapahaqui,sapahaqui,1252,Gobierno Autónomo Municipal de Sapahaqui,La Paz,GAM,municipal,7253,9354,11974,8761,7476,4409,29.7,4.1,25.6,70.3,58.9,11.1,0.3
match_exacto,LA PAZ,Loayza,Yaco,yaco,1253,Gobierno Autónomo Municipal de Yaco,La Paz,GAM,municipal,8379,8523,8788,6524,5191,2728,27.2,2.9,24.4,72.8,60.6,11.8,0.4
match_exacto,LA PAZ,Loayza,Malla,malla,1254,Gobierno Autónomo Municipal de Malla,La Paz,GAM,municipal,3251,3859,3692,2740,2108,1306,29.5,3.6,25.9,70.5,58.7,11.7,0.2
match_exacto,LA PAZ,Loayza,Cairoma,cairoma,1255,Gobierno Autónomo Municipal de Cairoma,La Paz,GAM,municipal,5835,8962,10101,5298,5456,2616,38.7,6.3,32.5,61.3,53.1,7.9,0.3
match_exacto,LA PAZ,Inquisivi,Inquisivi,inquisivi,1218,Gobierno Autónomo Municipal de Inquisivi,La Paz,GAM,municipal,13538,11791,13838,14240,9022,4750,20.2,3.9,16.3,79.8,63.6,15.8,0.4
match_exacto,LA PAZ,Inquisivi,Quime,quime,1219,Gobierno Autónomo Municipal de Quime,La Paz,GAM,municipal,3324,5922,5083,3261,3947,1552,58.8,18.3,40.4,41.2,32.9,8.1,0.2
match_exacto,LA PAZ,Inquisivi,Cajuata,cajuata,1220,Gobierno Autónomo Municipal de Cajuata,La Paz,GAM,municipal,5095,9922,7060,3085,6564,2231,55.0,10.8,44.1,45.0,41.3,3.8,0.0
match_exacto,LA PAZ,Inquisivi,Colquiri,colquiri,1221,Gobierno Autónomo Municipal de Colquiri,La Paz,GAM,municipal,13223,15198,15857,12642,10616,5211,36.5,15.4,21.1,63.5,50.6,12.5,0.4
match_exacto,LA PAZ,Inquisivi,Ichoca,ichoca,1222,Gobierno Autónomo Municipal de Ichoca,La Paz,GAM,municipal,7183,6599,7811,6492,3778,3130,18.5,2.1,16.4,81.5,58.3,22.7,0.5
match_exacto,LA PAZ,Inquisivi,Villa Libertad Licoma,villa libertad licoma,1223,Gobierno Autónomo Municipal de Villa Libertad Licoma,La Paz,GAM,municipal,3338,6222,3404,3448,3037,724,51.5,4.6,46.9,48.5,41.5,6.9,0.0
match_contiene,LA PAZ,Sur Yungas,Chulumani,chulumani,1256,Gobierno Autónomo Municipal de Chulumani (Villa de la Libertad),La Paz,GAM,municipal,5027,10107,7542,3592,6680,2567,62.9,13.9,49.0,37.1,34.9,2.2,0.0
match_contiene,LA PAZ,Sur Yungas,Irupana,irupana,1257,Gobierno Autónomo Municipal de Irupana (Villa de Lanza),La Paz,GAM,municipal,10104,13243,12727,7827,8560,3508,45.2,9.3,35.9,54.8,48.8,5.9,0.1
match_exacto,LA PAZ,Sur Yungas,Yanacachi,yanacachi,1258,Gobierno Autónomo Municipal de Yanacachi,La Paz,GAM,municipal,1989,4526,2560,2121,2544,882,66.0,21.8,44.2,34.0,30.5,3.5,0.0
match_exacto,LA PAZ,Sur Yungas,Palos Blancos,palos blancos,1259,Gobierno Autónomo Municipal de Palos Blancos,La Paz,GAM,municipal,13591,17654,13101,11120,9276,3944,45.1,9.7,35.4,54.9,47.4,7.3,0.3
match_exacto,LA PAZ,Sur Yungas,La Asunta,la asunta,1260,Gobierno Autónomo Municipal de La Asunta,La Paz,GAM,municipal,27155,28281,27600,19216,19394,8281,37.1,7.4,29.7,62.9,53.5,9.2,0.2
