status,departamento_pibpc,provincia_pibpc,municipio_pibpc,municipio_alt_pibpc,pibpc_key,pibpc_alt_key,pib_usd2017,poblacion_estimada_2021,pibpc_usd2017,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,presupuesto_total_sigep
match_exacto,Beni,Iténez,Huacaraje,Huacaraje,huacaraje,huacaraje,11889430.909150528,5280.105368813017,2251.741220805089,1819,Gobierno Autónomo Municipal de Huacaraje,Beni,GAM,municipal,5701760.0
match_exacto,Potosí,José María Linares,Ckochas,Ckochas,ckochas,ckochas,38455888.050519936,16334.592242448209,2354.2606683860645,1539,Gobierno Autónomo Municipal de Ckochas,Potosí,GAM,municipal,14798435.0
match_contiene,Oruro,Sur Carangas,Santiago de Andamarca,Santiago de Andamarca,santiago de andamarca,santiago de andamarca,12133824.802918272,4819.6202512988975,2517.589388842032,1424,Gobierno Autónomo Municipal de Andamarca (Santiago de Andamarca),Oruro,GAM,municipal,7118340.0
match_exacto,Oruro,Mejillones,La Rivera,La Rivera,la rivera,la rivera,2472272.8965726835,831.7751635007869,2972.2850657951203,1428,Gobierno Autónomo Municipal de La Rivera,Oruro,GAM,municipal,2918255.0
match_exacto,Oruro,Mejillones,Carangas,Carangas,carangas,carangas,2982881.350497788,1235.4140027807823,2414.4791493245552,1430,Gobierno Autónomo Municipal de Carangas,Oruro,GAM,municipal,5366864.0
match_exacto,Pando,Nicolás Suárez,Bolpebra,Bolpebra (Mukden),bolpebra,bolpebra mukden,10836007.307000829,4184.264304249404,2589.7043109815336,1903,Gobierno Autónomo Municipal de Bolpebra,Pando,GAM,municipal,4903243.0
match_exacto,Pando,Manuripi,Filadelfia,Filadelfia,filadelfia,filadelfia,11558478.58083832,6038.864456806659,1914.015236392708,1907,Gobierno Autónomo Municipal de Filadelfia,Pando,GAM,municipal,15802755.0
match_exacto,Oruro,Cercado,Oruro,Oruro,oruro,oruro,1055718732.607112,328543.900498723,3213.326228259153,1401,Gobierno Autónomo Municipal de Oruro,Oruro,GAM,municipal,577774709.0
match_contiene,Oruro,Nor Carangas,Huayllamarca,Santiago de Hayllamarca,huayllamarca,santiago de hayllamarca,11918730.293245068,5821.412948493593,2047.3947474090935,1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,GAM,municipal,11517896.0
match_exacto,La Paz,Gualberto Villarroel,San Pedro de Curahuara,San Pedro de Curahuara,san pedro de curahuara,san pedro de curahuara,18746080.28550776,10473.880104943017,1789.7932855523884,1271,Gobierno Autónomo Municipal de San Pedro de Curahuara,La Paz,GAM,municipal,10385954.0
